onset	duration	run_number	trial_number	att_task	bar_direction	bar_period	bar_step	stim_noise_ori	stim_stair_val	response_val	probe_time	reaction_time
82841.76288	1.598285142	1	1	1	9	1	1	3	n/a	n/a	n/a	n/a
82843.36117	1.60012452	1	2	1	9	1	2	3	n/a	n/a	n/a	n/a
82844.96129	1.600239317	1	3	1	9	1	3	3	n/a	n/a	n/a	n/a
82846.56153	1.600241786	1	4	1	9	1	4	3	n/a	n/a	n/a	n/a
82848.16177	1.600242914	1	5	1	9	1	5	3	n/a	n/a	n/a	n/a
82849.76201	1.600235145	1	6	1	9	1	6	3	n/a	n/a	n/a	n/a
82851.36225	1.600233045	1	7	1	9	1	7	3	n/a	n/a	n/a	n/a
82852.96248	1.60024069	1	8	1	9	1	8	3	n/a	n/a	n/a	n/a
82854.56272	1.600239569	1	9	1	9	1	9	3	n/a	n/a	n/a	n/a
82856.16296	1.600247792	1	10	1	9	1	10	3	n/a	n/a	n/a	n/a
82857.76321	1.600229942	1	11	1	9	1	11	3	n/a	n/a	n/a	n/a
82859.36344	1.600240931	1	12	1	9	1	12	3	n/a	n/a	n/a	n/a
82860.96368	1.6002322	1	13	1	1	2	1	1	9	n/a	82861.56377	n/a
82862.56391	1.600244858	1	14	1	1	2	2	2	9	0	82863.164	-0.09392014085
82864.16416	1.600232476	1	15	1	1	2	3	1	10	1	82864.76425	0.9084929974
82865.76439	1.600253275	1	16	1	1	2	4	2	10	n/a	82866.36448	n/a
82867.36464	1.600279108	1	17	1	1	2	5	2	10	1	82867.96474	0.7128292292
82868.96492	1.600297377	1	18	1	1	2	6	2	10	0	82869.56502	0.311419821
82870.56522	1.600229113	1	19	1	1	2	7	2	11	n/a	82871.16531	n/a
82872.16545	1.600124134	1	20	1	1	2	8	2	11	1	82872.76554	0.109567937
82873.76557	1.600232425	1	21	1	1	2	9	1	11	1	82874.36567	0.318506672
82875.36581	1.60858988	1	22	1	1	2	10	1	11	0	82875.9659	0.3101635685
82876.9744	1.600238507	1	23	1	1	2	11	2	12	0	82877.57449	0.2152060733
82878.57463	1.600240069	1	24	1	1	2	12	2	13	1	82879.17472	0.8097197109
82880.17487	1.600222411	1	25	1	1	2	13	1	13	1	82880.77495	0.2128735627
82881.7751	1.600253693	1	26	1	1	2	14	1	13	0	82882.37521	0.107337218
82883.37535	1.60023151	1	27	1	1	2	15	2	14	0	82883.97542	0.3130998556
82884.97558	1.600238696	1	28	1	1	2	16	2	15	0	82885.57568	0.4135383386
82886.57582	1.600311808	1	29	1	1	2	17	2	15	1	82887.17592	0.6097674668
82888.17613	1.600164917	1	30	1	1	2	18	1	15	n/a	82888.77616	n/a
82889.7763	1.600251997	1	31	1	1	2	19	1	15	n/a	82890.37639	n/a
82891.37655	1.600226778	1	32	1	1	2	20	1	15	0	82891.97663	0.005798312137
82892.97678	1.600241973	1	33	1	1	2	21	1	15	1	82893.57686	0.9088159039
82894.57702	1.600223611	1	34	1	1	2	22	2	15	1	82895.1771	0.7107507797
82896.17724	1.600266617	1	35	1	1	2	23	1	15	1	82896.7774	0.5128937404
82897.77751	1.600214523	1	36	1	1	2	24	2	14	0	82898.37759	0.9122643315
82899.37772	1.600237442	1	37	1	9	3	1	3	n/a	n/a	n/a	n/a
82900.97796	1.600236024	1	38	1	9	3	2	3	n/a	n/a	n/a	n/a
82902.5782	1.600238069	1	39	1	9	3	3	3	n/a	n/a	n/a	n/a
82904.17843	1.600256178	1	40	1	9	3	4	3	n/a	n/a	n/a	n/a
82905.77869	1.600282936	1	41	1	9	3	5	3	n/a	n/a	n/a	n/a
82907.37897	1.600285646	1	42	1	9	3	6	3	n/a	n/a	n/a	n/a
82908.97926	1.608459188	1	43	1	9	3	7	3	n/a	n/a	n/a	n/a
82910.58772	1.600236042	1	44	1	9	3	8	3	n/a	n/a	n/a	n/a
82912.18795	1.600239124	1	45	1	9	3	9	3	n/a	n/a	n/a	n/a
82913.78819	1.600246723	1	46	1	9	3	10	3	n/a	n/a	n/a	n/a
82915.38844	1.600230901	1	47	1	9	3	11	3	n/a	n/a	n/a	n/a
82916.98867	1.600236682	1	48	1	9	3	12	3	n/a	n/a	n/a	n/a
82918.58891	1.60033754	1	49	1	3	4	1	2	15	n/a	82919.189	n/a
82920.18925	1.60014115	1	50	1	3	4	2	1	15	n/a	82920.78924	n/a
82921.78939	1.600239345	1	51	1	3	4	3	1	15	n/a	82922.38948	n/a
82923.38963	1.600237438	1	52	1	3	4	4	2	15	0	82923.98971	0.7049077492
82924.98986	1.600241789	1	53	1	3	4	5	2	15	1	82925.58996	0.4127943533
82926.59011	1.600230645	1	54	1	3	4	6	1	15	1	82927.19019	0.604787235
82928.19034	1.600242452	1	55	1	3	4	7	1	15	n/a	82928.79043	n/a
82929.79058	1.60026386	1	56	1	3	4	8	1	15	0	82930.39067	0.2119583151
82931.39084	1.60029276	1	57	1	3	4	9	2	15	n/a	82931.99094	n/a
82932.99113	1.600263516	1	58	1	3	4	10	2	15	1	82933.59124	0.307585047
82934.5914	1.600131216	1	59	1	3	4	11	2	15	0	82935.19148	0.410806047
82936.19153	1.600211228	1	60	1	3	4	12	1	15	0	82936.79172	0.8089890782
82937.79174	1.600278377	1	61	1	3	4	13	1	15	1	82938.39196	0.7090701711
82939.39202	1.60028636	1	62	1	3	4	14	2	15	n/a	82939.99213	n/a
82940.99231	1.600282192	1	63	1	3	4	15	2	15	0	82941.59241	0.5118030017
82942.59259	1.600242972	1	64	1	3	4	16	1	15	0	82943.19267	0.3110657476
82944.19283	1.60011644	1	65	1	3	4	17	2	15	0	82944.79279	0.5139680039
82945.79295	1.600261475	1	66	1	3	4	18	1	15	0	82946.39304	0.5104809473
82947.39321	1.600219646	1	67	1	3	4	19	1	15	1	82947.99327	0.6065563556
82948.99343	1.60034004	1	68	1	3	4	20	1	15	0	82949.59362	0.5107181505
82950.59377	1.600136229	1	69	1	3	4	21	2	15	0	82951.19387	0.9085709611
82952.1939	1.600278284	1	70	1	3	4	22	2	15	n/a	82952.79402	n/a
82953.79418	1.600287632	1	71	1	3	4	23	2	15	0	82954.3943	0.9074742063
82955.39447	1.600254886	1	72	1	3	4	24	2	15	1	82955.99457	0.4103448676
82956.99473	1.60011316	1	73	1	9	5	1	3	n/a	n/a	n/a	n/a
82958.59484	1.600243262	1	74	1	9	5	2	3	n/a	n/a	n/a	n/a
82960.19508	1.600234924	1	75	1	9	5	3	3	n/a	n/a	n/a	n/a
82961.79532	1.600236949	1	76	1	9	5	4	3	n/a	n/a	n/a	n/a
82963.39555	1.600242142	1	77	1	9	5	5	3	n/a	n/a	n/a	n/a
82964.9958	1.600243224	1	78	1	9	5	6	3	n/a	n/a	n/a	n/a
82966.59604	1.600234745	1	79	1	9	5	7	3	n/a	n/a	n/a	n/a
82968.19627	1.600234461	1	80	1	9	5	8	3	n/a	n/a	n/a	n/a
82969.79651	1.600250659	1	81	1	9	5	9	3	n/a	n/a	n/a	n/a
82971.39676	1.600339316	1	82	1	9	5	10	3	n/a	n/a	n/a	n/a
82972.9971	1.600234062	1	83	1	9	5	11	3	n/a	n/a	n/a	n/a
82974.59733	1.600248841	1	84	1	9	5	12	3	n/a	n/a	n/a	n/a
82976.19758	1.600234914	1	85	1	5	6	1	2	15	0	82976.79767	0.8125214264
82977.79782	1.600106772	1	86	1	5	6	2	1	15	1	82978.39777	0.808324565
82979.39792	1.600241924	1	87	1	5	6	3	1	15	1	82979.99799	0.8136191132
82980.99816	1.600248607	1	88	1	5	6	4	2	15	1	82981.59827	0.9106958862
