onset	duration	run_number	trial_number	att_task	bar_direction	bar_period	bar_step	stim_noise_ori	stim_stair_val	response_val	probe_time	reaction_time
92824.81463	1.598169623	2	1	1	9	1	1	3	n/a	n/a	n/a	n/a
92826.4128	1.600352147	2	2	1	9	1	2	3	n/a	n/a	n/a	n/a
92828.01315	1.60012223	2	3	1	9	1	3	3	n/a	n/a	n/a	n/a
92829.61327	1.600248107	2	4	1	9	1	4	3	n/a	n/a	n/a	n/a
92831.21352	1.600242878	2	5	1	9	1	5	3	n/a	n/a	n/a	n/a
92832.81376	1.600234284	2	6	1	9	1	6	3	n/a	n/a	n/a	n/a
92834.41399	1.600245384	2	7	1	9	1	7	3	n/a	n/a	n/a	n/a
92836.01424	1.600339917	2	8	1	9	1	8	3	n/a	n/a	n/a	n/a
92837.61458	1.600240154	2	9	1	9	1	9	3	n/a	n/a	n/a	n/a
92839.21482	1.600239955	2	10	1	9	1	10	3	n/a	n/a	n/a	n/a
92840.81506	1.600234538	2	11	1	9	1	11	3	n/a	n/a	n/a	n/a
92842.41529	1.600109801	2	12	1	9	1	12	3	n/a	n/a	n/a	n/a
92844.0154	1.600376799	2	13	1	1	2	1	1	8	1	92844.61548	0.8040534824
92845.61578	1.600098186	2	14	1	1	2	2	2	8	n/a	92846.21586	n/a
92847.21588	1.600270629	2	15	1	1	2	3	1	8	n/a	92847.816	n/a
92848.81615	1.600249945	2	16	1	1	2	4	1	8	1	92849.41623	0.512607369
92850.4164	1.600220132	2	17	1	1	2	5	2	8	1	92851.01648	0.9052938541
92852.01662	1.60029945	2	18	1	1	2	6	1	7	1	92852.61672	0.6072762772
92853.61692	1.60018355	2	19	1	1	2	7	1	7	1	92854.21696	0.8093534619
92855.2171	1.600235924	2	20	1	1	2	8	1	7	n/a	92855.8172	n/a
92856.81734	1.600251437	2	21	1	1	2	9	2	7	n/a	92857.41744	n/a
92858.41759	1.600245761	2	22	1	1	2	10	1	7	0	92859.01769	-0.09327553771
92860.01784	1.600334909	2	23	1	1	2	11	1	8	n/a	92860.61795	n/a
92861.61817	1.600242478	2	24	1	1	2	12	1	8	n/a	92862.21823	n/a
92863.21841	1.600241023	2	25	1	1	2	13	2	8	n/a	92863.81849	n/a
92864.81865	1.600105985	2	26	1	1	2	14	2	8	0	92865.41861	0.1166277988
92866.41876	1.600236516	2	27	1	1	2	15	1	9	n/a	92867.01884	n/a
92868.019	1.60036933	2	28	1	1	2	16	2	9	n/a	92868.6191	n/a
92869.61937	1.6002459	2	29	1	1	2	17	2	9	1	92870.21946	0.2061900067
92871.21961	1.600236362	2	30	1	1	2	18	2	9	0	92871.81959	0.7103812988
92872.81985	1.600126791	2	31	1	1	2	19	2	10	1	92873.41982	0.9055315534
92874.41998	1.600229271	2	32	1	1	2	20	2	10	1	92875.02006	0.7120879382
92876.0202	1.600366576	2	33	1	1	2	21	1	10	n/a	92876.62042	n/a
92877.62057	1.600122991	2	34	1	1	2	22	1	10	1	92878.22065	0.6037926071
92879.22069	1.600313088	2	35	1	1	2	23	2	9	1	92879.8209	0.7082138918
92880.82101	1.600281012	2	36	1	1	2	24	2	9	1	92881.42113	0.6045373532
92882.42129	1.6002443	2	37	1	9	3	1	3	n/a	n/a	n/a	n/a
92884.02153	1.600098587	2	38	1	9	3	2	3	n/a	n/a	n/a	n/a
92885.62163	1.600250697	2	39	1	9	3	3	3	n/a	n/a	n/a	n/a
92887.22188	1.600246761	2	40	1	9	3	4	3	n/a	n/a	n/a	n/a
92888.82213	1.600239377	2	41	1	9	3	5	3	n/a	n/a	n/a	n/a
92890.42237	1.600247507	2	42	1	9	3	6	3	n/a	n/a	n/a	n/a
92892.02262	1.600280498	2	43	1	9	3	7	3	n/a	n/a	n/a	n/a
92893.6229	1.600293589	2	44	1	9	3	8	3	n/a	n/a	n/a	n/a
92895.22319	1.600143375	2	45	1	9	3	9	3	n/a	n/a	n/a	n/a
92896.82333	1.600236446	2	46	1	9	3	10	3	n/a	n/a	n/a	n/a
92898.42357	1.600244585	2	47	1	9	3	11	3	n/a	n/a	n/a	n/a
92900.02381	1.600236192	2	48	1	9	3	12	3	n/a	n/a	n/a	n/a
92901.62405	1.600230739	2	49	1	3	4	1	1	9	n/a	92902.22425	n/a
92903.22428	1.600218193	2	50	1	3	4	2	1	9	n/a	92903.82448	n/a
92904.8245	1.600369992	2	51	1	3	4	3	2	9	0	92905.42462	0.8051168077
92906.42487	1.600138768	2	52	1	3	4	4	1	10	1	92907.02486	0.7035918303
92908.02501	1.600250854	2	53	1	3	4	5	2	10	1	92908.62509	0.7050678839
92909.62526	1.600280866	2	54	1	3	4	6	2	10	1	92910.22537	0.8046776251
92911.22554	1.600286605	2	55	1	3	4	7	2	9	1	92911.82565	0.6081177049
92912.82583	1.600236077	2	56	1	3	4	8	1	9	n/a	92913.42592	n/a
92914.42606	1.600237523	2	57	1	3	4	9	1	9	1	92915.02616	0.5050863064
92916.0263	1.600246916	2	58	1	3	4	10	1	9	1	92916.62628	0.9117499995
92917.62655	1.600120977	2	59	1	3	4	11	1	8	0	92918.22652	0.8120861998
92919.22667	1.600238032	2	60	1	3	4	12	2	9	1	92919.82676	0.9106113077
92920.82691	1.600247545	2	61	1	3	4	13	2	9	1	92921.4271	0.7033311145
92922.42715	1.600242338	2	62	1	3	4	14	2	9	1	92923.02735	0.7034293223
92924.0274	1.600274967	2	63	1	3	4	15	2	8	n/a	92924.62758	n/a
92925.62767	1.600306188	2	64	1	3	4	16	2	8	1	92926.22783	0.7033071762
92927.22798	1.600238169	2	65	1	3	4	17	1	8	1	92927.82808	0.603260445
92928.82822	1.600242185	2	66	1	3	4	18	1	8	n/a	92929.4283	n/a
92930.42846	1.6002312	2	67	1	3	4	19	2	8	1	92931.02854	0.005114529762
92932.02869	1.60009274	2	68	1	3	4	20	1	7	1	92932.62877	0.7057469369
92933.62878	1.600388652	2	69	1	3	4	21	1	7	1	92934.22887	0.7098098438
92935.22917	1.60013426	2	70	1	3	4	22	1	7	n/a	92935.82912	n/a
92936.8293	1.6002396	2	71	1	3	4	23	2	7	1	92937.4294	0.7045502084
92938.42954	1.600240992	2	72	1	3	4	24	1	6	1	92939.02962	0.6038210147
92940.02978	1.6002331	2	73	1	9	5	1	3	n/a	n/a	n/a	n/a
92941.63002	1.600245746	2	74	1	9	5	2	3	n/a	n/a	n/a	n/a
92943.23026	1.600238423	2	75	1	9	5	3	3	n/a	n/a	n/a	n/a
92944.8305	1.600233216	2	76	1	9	5	4	3	n/a	n/a	n/a	n/a
92946.43074	1.600348194	2	77	1	9	5	5	3	n/a	n/a	n/a	n/a
92948.03108	1.600131783	2	78	1	9	5	6	3	n/a	n/a	n/a	n/a
92949.63122	1.600237307	2	79	1	9	5	7	3	n/a	n/a	n/a	n/a
92951.23145	1.600239962	2	80	1	9	5	8	3	n/a	n/a	n/a	n/a
92952.83169	1.600232378	2	81	1	9	5	9	3	n/a	n/a	n/a	n/a
