onset	duration	run_number	trial_number	att_task	bar_direction	bar_period	bar_step	stim_noise_ori	stim_stair_val	response_val	probe_time	reaction_time
82187.69577	1.723994329	1	1	1	9	1	1	3	n/a	n/a	n/a	n/a
82189.41977	1.600248175	1	2	1	9	1	2	3	n/a	n/a	n/a	n/a
82191.02002	1.600111339	1	3	1	9	1	3	3	n/a	n/a	n/a	n/a
82192.62013	1.600261871	1	4	1	9	1	4	3	n/a	n/a	n/a	n/a
82194.22039	1.600225504	1	5	1	9	1	5	3	n/a	n/a	n/a	n/a
82195.82062	1.600265293	1	6	1	9	1	6	3	n/a	n/a	n/a	n/a
82197.42088	1.600252276	1	7	1	9	1	7	3	n/a	n/a	n/a	n/a
82199.02113	1.600238724	1	8	1	9	1	8	3	n/a	n/a	n/a	n/a
82200.62137	1.600240575	1	9	1	9	1	9	3	n/a	n/a	n/a	n/a
82202.22161	1.600246324	1	10	1	9	1	10	3	n/a	n/a	n/a	n/a
82203.82186	1.600234978	1	11	1	9	1	11	3	n/a	n/a	n/a	n/a
82205.42209	1.600205187	1	12	1	9	1	12	3	n/a	n/a	n/a	n/a
82207.0223	1.600346667	1	13	1	1	2	1	1	15	n/a	82207.62247	n/a
82208.62265	1.600284562	1	14	1	1	2	2	2	15	n/a	82209.22276	n/a
82210.22293	1.60011724	1	15	1	1	2	3	2	15	n/a	82210.82302	n/a
82211.82305	1.600252198	1	16	1	1	2	4	1	15	n/a	82212.42314	n/a
82213.4233	1.600247024	1	17	1	1	2	5	1	15	n/a	82214.02338	n/a
82215.02355	1.600360863	1	18	1	1	2	6	1	15	n/a	82215.62365	n/a
82216.62391	1.600134283	1	19	1	1	2	7	1	15	n/a	82217.22391	n/a
82218.22404	1.60024815	1	20	1	1	2	8	1	15	n/a	82218.82414	n/a
82219.82429	1.60022988	1	21	1	1	2	9	1	15	n/a	82220.42438	n/a
82221.42452	1.600267768	1	22	1	1	2	10	2	15	n/a	82222.02459	n/a
82223.02479	1.600216183	1	23	1	1	2	11	2	15	n/a	82223.62487	n/a
82224.625	1.600247548	1	24	1	1	2	12	1	15	n/a	82225.22511	n/a
82226.22525	1.600255822	1	25	1	1	2	13	1	15	n/a	82226.82535	n/a
82227.82551	1.600287336	1	26	1	1	2	14	2	15	n/a	82228.42562	n/a
82229.42579	1.600288612	1	27	1	1	2	15	2	15	n/a	82230.02591	n/a
82231.02608	1.600256671	1	28	1	1	2	16	2	15	n/a	82231.62618	n/a
82232.62634	1.600129909	1	29	1	1	2	17	1	15	n/a	82233.22643	n/a
82234.22647	1.600242275	1	30	1	1	2	18	1	15	n/a	82234.82655	n/a
82235.82671	1.600246475	1	31	1	1	2	19	2	15	n/a	82236.42681	n/a
82237.42696	1.600251847	1	32	1	1	2	20	2	15	n/a	82238.02705	n/a
82239.02721	1.60007313	1	33	1	1	2	21	2	15	n/a	82239.62724	n/a
82240.62728	1.600374532	1	34	1	1	2	22	1	15	n/a	82241.22754	n/a
82242.22766	1.600280838	1	35	1	1	2	23	1	15	n/a	82242.82782	n/a
82243.82794	1.600247399	1	36	1	1	2	24	2	15	n/a	82244.42803	n/a
82245.42819	1.600224106	1	37	1	9	3	1	3	n/a	n/a	n/a	n/a
82247.02841	1.600250922	1	38	1	9	3	2	3	n/a	n/a	n/a	n/a
82248.62866	1.600253773	1	39	1	9	3	3	3	n/a	n/a	n/a	n/a
82250.22892	1.600229454	1	40	1	9	3	4	3	n/a	n/a	n/a	n/a
82251.82914	1.600254146	1	41	1	9	3	5	3	n/a	n/a	n/a	n/a
82253.4294	1.60024185	1	42	1	9	3	6	3	n/a	n/a	n/a	n/a
82255.02964	1.600259345	1	43	1	9	3	7	3	n/a	n/a	n/a	n/a
82256.6299	1.600218859	1	44	1	9	3	8	3	n/a	n/a	n/a	n/a
82258.23012	1.600354439	1	45	1	9	3	9	3	n/a	n/a	n/a	n/a
82259.83047	1.600128762	1	46	1	9	3	10	3	n/a	n/a	n/a	n/a
82261.4306	1.600246499	1	47	1	9	3	11	3	n/a	n/a	n/a	n/a
82263.03085	1.600317225	1	48	1	9	3	12	3	n/a	n/a	n/a	n/a
82264.63117	1.600174398	1	49	1	3	4	1	1	15	n/a	82265.23119	n/a
82266.23134	1.600350366	1	50	1	3	4	2	2	15	n/a	82266.83142	n/a
82267.83169	1.600142882	1	51	1	3	4	3	2	15	n/a	82268.43168	n/a
82269.43183	1.60025822	1	52	1	3	4	4	2	15	n/a	82270.03192	n/a
82271.03209	1.600280536	1	53	1	3	4	5	1	15	n/a	82271.6322	n/a
