onset	duration	run_number	trial_number	att_task	bar_direction	bar_period	bar_step	stim_noise_ori	stim_stair_val	response_val	probe_time	reaction_time
12580.44775	1.60539074	2	1	1	9	1	1	3	n/a	n/a	n/a	n/a
12582.05314	1.600261019	2	2	1	9	1	2	3	n/a	n/a	n/a	n/a
12583.65341	1.600237326	2	3	1	9	1	3	3	n/a	n/a	n/a	n/a
12585.25364	1.600285914	2	4	1	9	1	4	3	n/a	n/a	n/a	n/a
12586.85393	1.60028449	2	5	1	9	1	5	3	n/a	n/a	n/a	n/a
12588.45421	1.600236592	2	6	1	9	1	6	3	n/a	n/a	n/a	n/a
12590.05445	1.600122375	2	7	1	9	1	7	3	n/a	n/a	n/a	n/a
12591.65457	1.600226063	2	8	1	9	1	8	3	n/a	n/a	n/a	n/a
12593.2548	1.600245126	2	9	1	9	1	9	3	n/a	n/a	n/a	n/a
12594.85504	1.60025193	2	10	1	9	1	10	3	n/a	n/a	n/a	n/a
12596.4553	1.600332255	2	11	1	9	1	11	3	n/a	n/a	n/a	n/a
12598.05563	1.60016969	2	12	1	9	1	12	3	n/a	n/a	n/a	n/a
12599.6558	1.60032827	2	13	1	1	2	1	2	4	0	12600.25595	0.611131426
12601.25613	1.600252397	2	14	1	1	2	2	2	5	0	12601.85622	0.5076409092
12602.85638	1.60011575	2	15	1	1	2	3	2	6	0	12603.45633	0.4112175559
12604.45649	1.600233592	2	16	1	1	2	4	1	7	0	12605.05656	0.5142295803
12606.05673	1.600224472	2	17	1	1	2	5	2	8	0	12606.65691	0.4134061123
12607.65695	1.600267004	2	18	1	1	2	6	1	9	1	12608.25706	0.5117678482
12609.25722	1.60025751	2	19	1	1	2	7	1	9	1	12609.85731	0.4132104307
12610.85748	1.600225589	2	20	1	1	2	8	2	9	1	12611.45756	0.5045235757
12612.4577	1.600227417	2	21	1	1	2	9	1	8	1	12613.05779	0.4128709688
12614.05793	1.600251705	2	22	1	1	2	10	2	8	1	12614.65798	0.6128405177
12615.65818	1.60025449	2	23	1	1	2	11	1	8	1	12616.25838	0.5061936435
12617.25844	1.600227369	2	24	1	1	2	12	1	7	1	12617.85852	0.5134027757
12618.85866	1.600241371	2	25	1	1	2	13	1	7	1	12619.45875	0.6130171077
12620.4589	1.600239742	2	26	1	1	2	14	2	7	1	12621.05899	0.5131069436
12622.05914	1.600262652	2	27	1	1	2	15	2	6	1	12622.65923	0.516502349
12623.65941	1.600213922	2	28	1	1	2	16	2	6	1	12624.25947	0.811754394
12625.25962	1.600234371	2	29	1	1	2	17	1	6	1	12625.85971	0.5119449284
12626.85986	1.600233154	2	30	1	1	2	18	1	5	1	12627.45995	0.6093823978
12628.46009	1.600313582	2	31	1	1	2	19	1	5	0	12629.06022	0.5103658138
12630.0604	1.600280166	2	32	1	1	2	20	1	6	1	12630.6605	0.5110344733
12631.66068	1.600235847	2	33	1	1	2	21	1	6	1	12632.26078	0.6088736329
12633.26092	1.600141308	2	34	1	1	2	22	2	6	1	12633.8609	0.8084567673
12634.86106	1.6002325	2	35	1	1	2	23	2	5	0	12635.46114	0.512998391
12636.46129	1.600232916	2	36	1	1	2	24	1	6	1	12637.06138	0.612445778
12638.06152	1.600242231	2	37	1	9	3	1	3	n/a	n/a	n/a	n/a
12639.66177	1.600243929	2	38	1	9	3	2	3	n/a	n/a	n/a	n/a
12641.26201	1.600243008	2	39	1	9	3	3	3	n/a	n/a	n/a	n/a
12642.86225	1.600237929	2	40	1	9	3	4	3	n/a	n/a	n/a	n/a
12644.46249	1.600231663	2	41	1	9	3	5	3	n/a	n/a	n/a	n/a
12646.06272	1.60025245	2	42	1	9	3	6	3	n/a	n/a	n/a	n/a
12647.66298	1.60022035	2	43	1	9	3	7	3	n/a	n/a	n/a	n/a
12649.2632	1.600312844	2	44	1	9	3	8	3	n/a	n/a	n/a	n/a
12650.86351	1.600178974	2	45	1	9	3	9	3	n/a	n/a	n/a	n/a
12652.46369	1.600228508	2	46	1	9	3	10	3	n/a	n/a	n/a	n/a
12654.06392	1.600249205	2	47	1	9	3	11	3	n/a	n/a	n/a	n/a
12655.66417	1.600234269	2	48	1	9	3	12	3	n/a	n/a	n/a	n/a
12657.2644	1.600247218	2	49	1	3	4	1	1	6	1	12657.86448	0.214601862
12658.86465	1.600236321	2	50	1	3	4	2	1	6	1	12659.46476	0.5110520566
12660.46488	1.600240196	2	51	1	3	4	3	1	5	1	12661.06497	0.7128953963
12662.06512	1.600225338	2	52	1	3	4	4	2	5	1	12662.66522	0.6125602703
12663.66535	1.600247769	2	53	1	3	4	5	1	5	1	12664.26545	0.7128274024
12665.2656	1.600244095	2	54	1	3	4	6	2	4	1	12665.86574	0.7114175802
12666.86584	1.600234382	2	55	1	3	4	7	2	4	1	12667.46593	0.713539736
12668.46608	1.600242871	2	56	1	3	4	8	1	4	1	12669.06617	0.5131752543
12670.06632	1.600271769	2	57	1	3	4	9	1	3	0	12670.66641	0.4112391994
12671.66659	1.600279566	2	58	1	3	4	10	2	4	1	12672.2667	0.5114161115
12673.26687	1.600264286	2	59	1	3	4	11	2	4	1	12673.86698	0.5103424718
12674.86713	1.600137778	2	60	1	3	4	12	2	4	n/a	12675.46724	n/a
12676.46727	1.600230047	2	61	1	3	4	13	2	4	n/a	12677.06735	n/a
12678.0675	1.600309753	2	62	1	3	4	14	2	4	n/a	12678.66762	n/a
12679.66781	1.600282019	2	63	1	3	4	15	2	4	n/a	12680.26792	n/a
12681.26809	1.600110937	2	64	1	3	4	16	2	4	n/a	12681.86818	n/a
12682.8682	1.600258202	2	65	1	3	4	17	1	4	1	12683.46842	0.6130697069
12684.46846	1.600227005	2	66	1	3	4	18	2	3	1	12685.06855	0.5131806406
12686.06869	1.600251658	2	67	1	3	4	19	1	3	1	12686.66879	0.5136526856
