onset	duration	run_number	trial_number	att_task	bar_direction	bar_period	bar_step	stim_noise_ori	stim_stair_val	response_val	probe_time	reaction_time
591891.8646	1.602849712	1	1	1	9	1	1	3	n/a	n/a	n/a	n/a
591893.4674	1.600228606	1	2	1	9	1	2	3	n/a	n/a	n/a	n/a
591895.0677	1.600371872	1	3	1	9	1	3	3	n/a	n/a	n/a	n/a
591896.668	1.600247653	1	4	1	9	1	4	3	n/a	n/a	n/a	n/a
591898.2683	1.60010178	1	5	1	9	1	5	3	n/a	n/a	n/a	n/a
591899.8684	1.600271352	1	6	1	9	1	6	3	n/a	n/a	n/a	n/a
591901.4686	1.600227356	1	7	1	9	1	7	3	n/a	n/a	n/a	n/a
591903.0689	1.600290166	1	8	1	9	1	8	3	n/a	n/a	n/a	n/a
591904.6692	1.600272907	1	9	1	9	1	9	3	n/a	n/a	n/a	n/a
591906.2694	1.60030415	1	10	1	9	1	10	3	n/a	n/a	n/a	n/a
591907.8697	1.600242807	1	11	1	9	1	11	3	n/a	n/a	n/a	n/a
591909.47	1.600106432	1	12	1	9	1	12	3	n/a	n/a	n/a	n/a
591911.0701	1.600256571	1	13	1	1	2	1	2	9	0	591911.6702	0.5069388261
591912.6703	1.600253227	1	14	1	1	2	2	1	10	1	591913.2704	0.5053332224
591914.2706	1.600261648	1	15	1	1	2	3	2	10	1	591914.8707	0.4075097446
591915.8709	1.600342696	1	16	1	1	2	4	1	10	1	591916.471	0.5071983527
591917.4712	1.600130558	1	17	1	1	2	5	2	9	1	591918.0712	0.6080650849
591919.0713	1.600263013	1	18	1	1	2	6	2	9	1	591919.6714	0.5071344278
591920.6716	1.600242023	1	19	1	1	2	7	1	9	1	591921.2717	0.5037937913
591922.2718	1.600249514	1	20	1	1	2	8	1	8	0	591922.8719	0.4071820108
591923.8721	1.600246396	1	21	1	1	2	9	2	9	1	591924.4722	0.4078034033
591925.4723	1.600265886	1	22	1	1	2	10	2	9	1	591926.0725	0.5077815853
591927.0726	1.600304584	1	23	1	1	2	11	1	9	1	591927.6727	0.5044974756
591928.6729	1.600263928	1	24	1	1	2	12	2	8	1	591929.273	0.5030709321
591930.2732	1.600109203	1	25	1	1	2	13	1	8	0	591930.8733	0.5091808349
591931.8733	1.60028131	1	26	1	1	2	14	2	9	1	591932.4734	0.4093384822
591933.4736	1.600228247	1	27	1	1	2	15	2	9	1	591934.0736	0.6036340654
591935.0738	1.600258647	1	28	1	1	2	16	1	9	1	591935.6739	0.6056075316
591936.674	1.600240615	1	29	1	1	2	17	1	8	1	591937.2741	0.5144470512
591938.2743	1.600235086	1	30	1	1	2	18	2	8	1	591938.8744	0.6059724577
591939.8745	1.600264191	1	31	1	1	2	19	2	8	0	591940.4746	0.4062058371
591941.4748	1.60024059	1	32	1	1	2	20	1	9	1	591942.0749	0.4068414707
591943.075	1.600236456	1	33	1	1	2	21	1	9	1	591943.6751	0.4069046811
591944.6753	1.6002351	1	34	1	1	2	22	2	9	1	591945.2754	0.008329707081
591946.2755	1.6002462	1	35	1	1	2	23	2	8	n/a	591946.8756	n/a
591947.8757	1.60029466	1	36	1	1	2	24	2	8	0	591948.4759	0.9061356632
591949.476	1.60030049	1	37	1	9	3	1	3	n/a	n/a	n/a	n/a
591951.0763	1.600253902	1	38	1	9	3	2	3	n/a	n/a	n/a	n/a
591952.6766	1.600129539	1	39	1	9	3	3	3	n/a	n/a	n/a	n/a
591954.2767	1.600241643	1	40	1	9	3	4	3	n/a	n/a	n/a	n/a
591955.877	1.600249875	1	41	1	9	3	5	3	n/a	n/a	n/a	n/a
591957.4772	1.600255366	1	42	1	9	3	6	3	n/a	n/a	n/a	n/a
591959.0775	1.600263815	1	43	1	9	3	7	3	n/a	n/a	n/a	n/a
591960.6777	1.600206121	1	44	1	9	3	8	3	n/a	n/a	n/a	n/a
591962.2779	1.600261801	1	45	1	9	3	9	3	n/a	n/a	n/a	n/a
591963.8782	1.600245466	1	46	1	9	3	10	3	n/a	n/a	n/a	n/a
591965.4784	1.600244787	1	47	1	9	3	11	3	n/a	n/a	n/a	n/a
591967.0787	1.600242213	1	48	1	9	3	12	3	n/a	n/a	n/a	n/a
591968.6789	1.600253756	1	49	1	3	4	1	2	9	0	591969.279	0.311891867
591970.2792	1.600244577	1	50	1	3	4	2	2	10	1	591970.8793	0.4070575343
591971.8794	1.600230253	1	51	1	3	4	3	2	10	1	591972.4795	0.7070985408
591973.4797	1.600256948	1	52	1	3	4	4	2	10	1	591974.0798	0.8049535854
591975.0799	1.600262788	1	53	1	3	4	5	1	9	1	591975.68	0.5051977631
591976.6802	1.600292873	1	54	1	3	4	6	2	9	1	591977.2803	0.6063268011
591978.2805	1.60029415	1	55	1	3	4	7	2	9	1	591978.8806	0.6173468707
591979.8808	1.600107067	1	56	1	3	4	8	1	8	1	591980.4809	0.4061909619
591981.4809	1.600266487	1	57	1	3	4	9	1	8	0	591982.081	0.3096054419
591983.0811	1.600246721	1	58	1	3	4	10	2	9	1	591983.6812	0.2069522316
591984.6814	1.60023136	1	59	1	3	4	11	1	9	1	591985.2815	0.3096965016
591986.2816	1.600250579	1	60	1	3	4	12	1	9	1	591986.8817	0.5050618278
591987.8819	1.600252461	1	61	1	3	4	13	2	8	1	591988.482	0.2058235212
591989.4821	1.600267054	1	62	1	3	4	14	2	8	0	591990.0822	0.009060967015
591991.0824	1.600274124	1	63	1	3	4	15	2	9	1	591991.6825	-0.08839301462
591992.6827	1.60028543	1	64	1	3	4	16	2	9	1	591993.2828	0.5059551278
591994.283	1.600256544	1	65	1	3	4	17	2	9	1	591994.8831	0.5117916322
591995.8832	1.600112239	1	66	1	3	4	18	1	8	1	591996.4833	0.6063594749
591997.4833	1.600249266	1	67	1	3	4	19	1	8	1	591998.0834	0.5067477806
591999.0836	1.600265552	1	68	1	3	4	20	2	8	0	591999.6837	0.4100312691
592000.6838	1.600353043	1	69	1	3	4	21	1	9	1	592001.2839	0.6074637718
592002.2842	1.600140315	1	70	1	3	4	22	2	9	1	592002.8842	0.6067358371
592003.8843	1.600254836	1	71	1	3	4	23	2	9	1	592004.4844	0.6068172604
592005.4846	1.600258479	1	72	1	3	4	24	1	8	1	592006.0847	0.7044536163
592007.0848	1.600221238	1	73	1	9	5	1	3	n/a	n/a	n/a	n/a
