onset	duration	run_number	trial_number	att_task	bar_direction	bar_period	bar_step	stim_noise_ori	stim_stair_val	response_val	probe_time	reaction_time
16505.72655	3.1408388	1	1	1	9	1	1	3	n/a	n/a	n/a	n/a
16508.86739	2.5495227	1	2	1	9	1	2	3	n/a	n/a	n/a	n/a
16511.41691	2.457951	1	3	1	9	1	3	3	n/a	n/a	n/a	n/a
16513.87486	2.5580202	1	4	1	9	1	4	3	n/a	n/a	n/a	n/a
16516.43288	2.4662442	1	5	1	9	1	5	3	n/a	n/a	n/a	n/a
16518.89913	2.5996881	1	6	1	9	1	6	3	n/a	n/a	n/a	n/a
16521.49881	2.4579597	1	7	1	9	1	7	3	n/a	n/a	n/a	n/a
16523.95677	2.6162388	1	8	1	9	1	8	3	n/a	n/a	n/a	n/a
16526.57301	2.5997381	1	9	1	9	1	9	3	n/a	n/a	n/a	n/a
16529.17275	2.666269	1	10	1	9	1	10	3	n/a	n/a	n/a	n/a
16531.83902	2.6078686	1	11	1	9	1	11	3	n/a	n/a	n/a	n/a
16534.44689	2.6162847	1	12	1	9	1	12	3	n/a	n/a	n/a	n/a
16537.06317	2.6412836	1	13	1	1	2	1	1	15	n/a	16538.06303	n/a
16539.70446	2.5995765	1	14	1	1	2	2	2	15	n/a	16540.67094	n/a
16542.30403	2.6996589	1	15	1	1	2	3	2	15	n/a	16543.32894	n/a
16545.00369	2.5413031	1	16	1	1	2	4	2	15	n/a	16545.94523	n/a
16547.54499	2.6580011	1	17	1	1	2	5	2	15	n/a	16548.52818	n/a
16550.203	2.7661947	1	18	1	1	2	6	2	15	n/a	16551.18615	n/a
16552.96919	2.7412727	1	19	1	1	2	7	2	15	n/a	16554.00239	n/a
16555.71046	2.724783946	1	20	1	1	2	8	1	15	n/a	16556.71864	n/a
16558.43525	2.699387254	1	21	1	1	2	9	2	15	n/a	16559.40992	n/a
16561.13463	2.7163004	1	22	1	1	2	10	2	15	n/a	16562.13451	n/a
16563.85093	2.7746025	1	23	1	1	2	11	1	15	n/a	16564.98411	n/a
16566.62554	2.7496059	1	24	1	1	2	12	2	15	n/a	16567.60041	n/a
16569.37514	2.5996505	1	25	1	1	2	13	2	15	n/a	16570.35018	n/a
16571.97479	2.6330441	1	26	1	1	2	14	1	15	n/a	16572.94129	n/a
16574.60784	3.066092	1	27	1	1	2	15	2	15	n/a	16575.92427	n/a
16577.67393	2.8578817	1	28	1	1	2	16	2	15	n/a	16578.67382	n/a
16580.53181	2.8829216	1	29	1	1	2	17	1	15	n/a	16581.59002	n/a
16583.41473	2.8829598	1	30	1	1	2	18	1	15	n/a	16584.50646	n/a
16586.29769	2.791219	1	31	1	1	2	19	1	15	n/a	16587.36417	n/a
16589.08891	2.7329018	1	32	1	1	2	20	2	15	n/a	16590.12212	n/a
16591.82181	2.6829306	1	33	1	1	2	21	1	15	n/a	16592.83837	n/a
16594.50474	2.6330994	1	34	1	1	2	22	2	15	n/a	16595.51317	n/a
16597.13784	2.6328612	1	35	1	1	2	23	2	15	n/a	16598.13761	n/a
16599.7707	2.6162932	1	36	1	1	2	24	2	15	n/a	16600.73732	n/a
16602.387	2.5413085	1	37	1	9	3	1	3	n/a	n/a	n/a	n/a
16604.92831	2.5496284	1	38	1	9	3	2	3	n/a	n/a	n/a	n/a
16607.47793	2.5912899	1	39	1	9	3	3	3	n/a	n/a	n/a	n/a
16610.06922	2.6246788	1	40	1	9	3	4	3	n/a	n/a	n/a	n/a
16612.6939	2.5994893	1	41	1	9	3	5	3	n/a	n/a	n/a	n/a
16615.29339	2.6665033	1	42	1	9	3	6	3	n/a	n/a	n/a	n/a
16617.9599	2.7327746	1	43	1	9	3	7	3	n/a	n/a	n/a	n/a
16620.69267	2.5996036	1	44	1	9	3	8	3	n/a	n/a	n/a	n/a
16623.29227	2.6496189	1	45	1	9	3	9	3	n/a	n/a	n/a	n/a
16625.94189	2.474647	1	46	1	9	3	10	3	n/a	n/a	n/a	n/a
16628.41654	2.5829179	1	47	1	9	3	11	3	n/a	n/a	n/a	n/a
16630.99946	2.5996506	1	48	1	9	3	12	3	n/a	n/a	n/a	n/a
16633.59911	2.6746248	1	49	1	3	4	1	2	15	n/a	16634.59893	n/a
16636.27373	2.5330635	1	50	1	3	4	2	1	15	n/a	16637.24854	n/a
16638.8068	2.7327954	1	51	1	3	4	3	1	15	n/a	16639.82319	n/a
16641.53959	2.8079183	1	52	1	3	4	4	2	15	n/a	16642.54774	n/a
16644.34751	2.8745785	1	53	1	3	4	5	2	15	n/a	16645.51402	n/a
16647.22209	3.033016	1	54	1	3	4	6	2	15	n/a	16648.38025	n/a
16650.25511	3.0411335	1	55	1	3	4	7	2	15	n/a	16651.35486	n/a
16653.29624	3.1911716	1	56	1	3	4	8	2	15	n/a	16654.55438	n/a
16656.48741	3.0662575	1	57	1	3	4	9	1	15	n/a	16657.64568	n/a
16659.55367	3.0912142	1	58	1	3	4	10	1	15	n/a	16660.6785	n/a
