onset	duration	run_number	trial_number	att_task	bar_direction	bar_period	bar_step	stim_noise_ori	stim_stair_val	response_val	probe_time	reaction_time
101470.0391	1.604246222	1	1	1	9	1	1	3	n/a	n/a	n/a	n/a
101471.6433	1.600246288	1	2	1	9	1	2	3	n/a	n/a	n/a	n/a
101473.2436	1.600249986	1	3	1	9	1	3	3	n/a	n/a	n/a	n/a
101474.8438	1.600244716	1	4	1	9	1	4	3	n/a	n/a	n/a	n/a
101476.4441	1.600231736	1	5	1	9	1	5	3	n/a	n/a	n/a	n/a
101478.0443	1.600244284	1	6	1	9	1	6	3	n/a	n/a	n/a	n/a
101479.6445	1.600275287	1	7	1	9	1	7	3	n/a	n/a	n/a	n/a
101481.2448	1.600286	1	8	1	9	1	8	3	n/a	n/a	n/a	n/a
101482.8451	1.600276128	1	9	1	9	1	9	3	n/a	n/a	n/a	n/a
101484.4454	1.600124344	1	10	1	9	1	10	3	n/a	n/a	n/a	n/a
101486.0455	1.600364558	1	11	1	9	1	11	3	n/a	n/a	n/a	n/a
101487.6459	1.600093797	1	12	1	9	1	12	3	n/a	n/a	n/a	n/a
101489.246	1.600345262	1	13	1	1	2	1	2	9	n/a	101489.8461	n/a
101490.8463	1.600150749	1	14	1	1	2	2	1	9	1	101491.4463	0.5072292368
101492.4465	1.600272984	1	15	1	1	2	3	2	9	1	101493.0466	0.6050915348
101494.0467	1.60024987	1	16	1	1	2	4	1	9	1	101494.6468	0.5061968819
101495.647	1.600217565	1	17	1	1	2	5	2	8	1	101496.2471	0.6053995329
101497.2472	1.600286578	1	18	1	1	2	6	2	8	1	101497.8473	0.8040484142
101498.8475	1.600332995	1	19	1	1	2	7	2	8	n/a	101499.4476	n/a
101500.4478	1.6002404	1	20	1	1	2	8	2	8	1	101501.0479	0.5047195099
101502.0481	1.600212113	1	21	1	1	2	9	2	7	1	101502.6482	0.7073418746
101503.6483	1.600118364	1	22	1	1	2	10	2	7	1	101504.2483	0.5098962938
101505.2484	1.600285904	1	23	1	1	2	11	2	7	1	101505.8485	0.5051912398
101506.8487	1.600216868	1	24	1	1	2	12	2	6	1	101507.4488	0.4054454554
101508.4489	1.600274212	1	25	1	1	2	13	1	6	1	101509.0491	0.8065844442
101510.0492	1.600238547	1	26	1	1	2	14	2	6	1	101510.6493	0.6046464142
101511.6494	1.600253847	1	27	1	1	2	15	1	5	1	101512.2495	0.7050584936
101513.2497	1.600241815	1	28	1	1	2	16	2	5	1	101513.8498	0.6046084162
101514.8499	1.600239491	1	29	1	1	2	17	2	5	n/a	101515.45	n/a
101516.4501	1.600244451	1	30	1	1	2	18	2	5	0	101517.0502	0.5078354671
101518.0504	1.600212833	1	31	1	1	2	19	2	6	1	101518.6505	0.006733814225
101519.6506	1.600273823	1	32	1	1	2	20	2	6	1	101520.2507	0.8103014672
101521.2509	1.600300472	1	33	1	1	2	21	1	6	n/a	101521.851	n/a
101522.8512	1.60027818	1	34	1	1	2	22	2	6	0	101523.4513	0.4053566512
101524.4515	1.600124882	1	35	1	1	2	23	2	7	n/a	101525.0514	n/a
101526.0516	1.600308834	1	36	1	1	2	24	2	7	n/a	101526.6517	n/a
101527.6519	1.600273134	1	37	1	9	3	1	3	n/a	n/a	n/a	n/a
101529.2522	1.600165688	1	38	1	9	3	2	3	n/a	n/a	n/a	n/a
101530.8523	1.60024204	1	39	1	9	3	3	3	n/a	n/a	n/a	n/a
101532.4526	1.600235092	1	40	1	9	3	4	3	n/a	n/a	n/a	n/a
101534.0528	1.600088527	1	41	1	9	3	5	3	n/a	n/a	n/a	n/a
101535.6529	1.600400969	1	42	1	9	3	6	3	n/a	n/a	n/a	n/a
101537.2533	1.600257137	1	43	1	9	3	7	3	n/a	n/a	n/a	n/a
101538.8536	1.600253771	1	44	1	9	3	8	3	n/a	n/a	n/a	n/a
101540.4538	1.600238639	1	45	1	9	3	9	3	n/a	n/a	n/a	n/a
101542.054	1.600289549	1	46	1	9	3	10	3	n/a	n/a	n/a	n/a
101543.6543	1.600270574	1	47	1	9	3	11	3	n/a	n/a	n/a	n/a
101545.2546	1.60025936	1	48	1	9	3	12	3	n/a	n/a	n/a	n/a
101546.8549	1.600139774	1	49	1	3	4	1	1	7	n/a	101547.4548	n/a
101548.455	1.6002325	1	50	1	3	4	2	1	7	n/a	101549.0551	n/a
101550.0552	1.600266012	1	51	1	3	4	3	2	7	1	101550.6553	0.006874574072
