onset	duration	run_number	trial_number	att_task	bar_direction	bar_period	bar_step	stim_noise_ori	stim_stair_val	response_val	probe_time	reaction_time
14093.76462	1.595725998	1	1	1	9	1	1	3	n/a	n/a	n/a	n/a
14095.36034	1.588688272	1	2	1	9	1	2	3	n/a	n/a	n/a	n/a
14096.94903	1.588703467	1	3	1	9	1	3	3	n/a	n/a	n/a	n/a
14098.53773	1.588663665	1	4	1	9	1	4	3	n/a	n/a	n/a	n/a
14100.1264	1.588716717	1	5	1	9	1	5	3	n/a	n/a	n/a	n/a
14101.71511	1.588659041	1	6	1	9	1	6	3	n/a	n/a	n/a	n/a
14103.30377	1.588689012	1	7	1	9	1	7	3	n/a	n/a	n/a	n/a
14104.89246	1.588684114	1	8	1	9	1	8	3	n/a	n/a	n/a	n/a
14106.48115	1.58867197	1	9	1	9	1	9	3	n/a	n/a	n/a	n/a
14108.06982	1.588684431	1	10	1	9	1	10	3	n/a	n/a	n/a	n/a
14109.6585	1.588702181	1	11	1	9	1	11	3	n/a	n/a	n/a	n/a
14111.24721	1.588690893	1	12	1	9	1	12	3	n/a	n/a	n/a	n/a
14112.8359	1.588675534	1	13	1	1	2	1	1	9	1	14113.43164	0.6129974441
14114.42457	1.588688974	1	14	1	1	2	2	1	9	1	14115.02033	0.6143036137
14116.01326	1.588677105	1	15	1	1	2	3	1	9	1	14116.60901	0.5101853004
14117.60194	1.588698927	1	16	1	1	2	4	1	8	1	14118.1977	0.5085880203
14119.19064	1.58866464	1	17	1	1	2	5	2	8	1	14119.78638	0.6151386131
14120.7793	1.58871358	1	18	1	1	2	6	2	8	1	14121.37506	0.5114334878
14122.36802	1.58867777	1	19	1	1	2	7	2	7	1	14122.96376	0.7210561395
14123.95669	1.588676396	1	20	1	1	2	8	2	7	1	14124.55242	0.6120231222
14125.54537	1.588694033	1	21	1	1	2	9	2	7	1	14126.14112	0.5163442311
14127.13406	1.58867185	1	22	1	1	2	10	2	6	1	14127.72981	0.7237027317
14128.72274	1.588685526	1	23	1	1	2	11	2	6	1	14129.3185	0.6146381295
14130.31142	1.588696578	1	24	1	1	2	12	2	6	1	14130.90719	0.6142316417
14131.90012	1.588680118	1	25	1	1	2	13	2	5	1	14132.49588	0.7064998583
14133.4888	1.588703903	1	26	1	1	2	14	2	5	1	14134.08456	0.6072710944
14135.0775	1.588667618	1	27	1	1	2	15	1	5	1	14135.67324	0.6095573064
14136.66617	1.588684938	1	28	1	1	2	16	1	4	1	14137.26193	0.6136677697
14138.25485	1.588684276	1	29	1	1	2	17	1	4	1	14138.85062	0.5057248453
14139.84354	1.588695204	1	30	1	1	2	18	2	4	1	14140.4393	0.5135781463
14141.43223	1.60523143	1	31	1	1	2	19	2	3	0	14142.02798	0.6136282737
14143.03746	1.58867338	1	32	1	1	2	20	2	4	1	14143.63322	0.5229032304
14144.62614	1.588696341	1	33	1	1	2	21	2	4	1	14145.2219	0.4151167518
14146.21483	1.588689444	1	34	1	1	2	22	2	4	1	14146.81059	0.4168545261
14147.80352	1.588684901	1	35	1	1	2	23	1	3	0	14148.39928	0.4157088722
14149.39221	1.58868302	1	36	1	1	2	24	1	4	0	14149.98797	0.5059662328
14150.98089	1.588692146	1	37	1	9	3	1	3	n/a	n/a	n/a	n/a
14152.56958	1.588682552	1	38	1	9	3	2	3	n/a	n/a	n/a	n/a
14154.15827	1.588678863	1	39	1	9	3	3	3	n/a	n/a	n/a	n/a
14155.74695	1.588690544	1	40	1	9	3	4	3	n/a	n/a	n/a	n/a
14157.33564	1.588680235	1	41	1	9	3	5	3	n/a	n/a	n/a	n/a
14158.92432	1.58867938	1	42	1	9	3	6	3	n/a	n/a	n/a	n/a
14160.513	1.588695826	1	43	1	9	3	7	3	n/a	n/a	n/a	n/a
14162.10169	1.588689408	1	44	1	9	3	8	3	n/a	n/a	n/a	n/a
14163.69038	1.588697438	1	45	1	9	3	9	3	n/a	n/a	n/a	n/a
14165.27908	1.588667147	1	46	1	9	3	10	3	n/a	n/a	n/a	n/a
14166.86775	1.588703318	1	47	1	9	3	11	3	n/a	n/a	n/a	n/a
14168.45645	1.588666247	1	48	1	9	3	12	3	n/a	n/a	n/a	n/a
14170.04511	1.58870108	1	49	1	3	4	1	2	5	0	14170.64088	0.5118699495
14171.63382	1.588676283	1	50	1	3	4	2	1	6	1	14172.22957	0.4097720528
14173.22249	1.588685526	1	51	1	3	4	3	1	6	1	14173.81825	0.413846309
14174.81118	1.588685602	1	52	1	3	4	4	1	6	1	14175.40693	0.4082901168
14176.39986	1.588682432	1	53	1	3	4	5	2	5	0	14176.99561	0.5075506576
14177.98855	1.588684939	1	54	1	3	4	6	1	6	1	14178.5843	0.6138199046
14179.57723	1.588697559	1	55	1	3	4	7	2	6	1	14180.173	0.5073910382
14181.16593	1.588685603	1	56	1	3	4	8	2	6	1	14181.76169	0.4181073399
14182.75461	1.588671931	1	57	1	3	4	9	1	5	1	14183.35035	0.6149444019
14184.34329	1.588689834	1	58	1	3	4	10	1	5	1	14184.93905	0.5109616076
14185.93198	1.588689369	1	59	1	3	4	11	2	5	1	14186.52774	0.5098795029
14187.52067	1.588694029	1	60	1	3	4	12	2	4	1	14188.11641	0.5050590283
14189.10936	1.588680704	1	61	1	3	4	13	1	4	1	14189.70512	0.5175080262
14190.69804	1.588668209	1	62	1	3	4	14	1	4	1	14191.2938	0.5251281661
14192.28671	1.588698576	1	63	1	3	4	15	1	3	1	14192.88249	0.5121195212
14193.87541	1.588689327	1	64	1	3	4	16	1	3	0	14194.47116	0.3269565668
14195.4641	1.588695166	1	65	1	3	4	17	2	4	1	14196.05985	0.5088715638
14197.05279	1.588685288	1	66	1	3	4	18	1	4	0	14197.64853	0.5164859074
14198.64148	1.588670641	1	67	1	3	4	19	2	5	1	14199.23723	0.5165121151
14200.23015	1.588683604	1	68	1	3	4	20	1	5	0	14200.8259	0.4147763183
14201.81883	1.588702767	1	69	1	3	4	21	1	6	1	14202.41458	0.4176300499
14203.40753	1.588671816	1	70	1	3	4	22	2	6	0	14204.00329	0.41226478
14204.99621	1.588686619	1	71	1	3	4	23	2	7	0	14205.59196	0.3083527836
14206.58489	1.588685256	1	72	1	3	4	24	1	8	1	14207.18066	0.3163934388
14208.17358	1.588678668	1	73	1	9	5	1	3	n/a	n/a	n/a	n/a
14209.76226	1.588688427	1	74	1	9	5	2	3	n/a	n/a	n/a	n/a
14211.35094	1.588696499	1	75	1	9	5	3	3	n/a	n/a	n/a	n/a
14212.93964	1.588676553	1	76	1	9	5	4	3	n/a	n/a	n/a	n/a
14214.52832	1.588691834	1	77	1	9	5	5	3	n/a	n/a	n/a	n/a
14216.11701	1.588679689	1	78	1	9	5	6	3	n/a	n/a	n/a	n/a
14217.70569	1.588680747	1	79	1	9	5	7	3	n/a	n/a	n/a	n/a
14219.29437	1.588695638	1	80	1	9	5	8	3	n/a	n/a	n/a	n/a
14220.88307	1.588691913	1	81	1	9	5	9	3	n/a	n/a	n/a	n/a
14222.47176	1.588671773	1	82	1	9	5	10	3	n/a	n/a	n/a	n/a
14224.06043	1.58869054	1	83	1	9	5	11	3	n/a	n/a	n/a	n/a
14225.64912	1.588688544	1	84	1	9	5	12	3	n/a	n/a	n/a	n/a
14227.23781	1.588702024	1	85	1	5	6	1	1	8	1	14227.83357	0.5130319382
14228.82651	1.588662999	1	86	1	5	6	2	1	8	1	14229.42226	0.4151917811
14230.41517	1.588698886	1	87	1	5	6	3	2	7	1	14231.01097	0.5152577764
14232.00387	1.588668326	1	88	1	5	6	4	1	7	1	14232.59962	0.5155703931
14233.59254	1.58869195	1	89	1	5	6	5	2	7	1	14234.18831	0.6085798534
14235.18123	1.588702731	1	90	1	5	6	6	1	6	1	14235.777	0.6070303316
14236.76993	1.588659662	1	91	1	5	6	7	1	6	0	14237.36567	0.5134565691
14238.35859	1.5886945	1	92	1	5	6	8	2	7	0	14238.95437	0.4186776004
14239.94729	1.588690977	1	93	1	5	6	9	1	8	0	14240.54305	0.5154453707
14241.53598	1.588680507	1	94	1	5	6	10	2	9	1	14242.13173	0.5083166245
14243.12466	1.588686861	1	95	1	5	6	11	1	9	1	14243.72043	0.5149209491
14244.71335	1.588689208	1	96	1	5	6	12	2	9	1	14245.30911	0.5143275359
14246.30204	1.588686235	1	97	1	5	6	13	2	8	1	14246.8978	0.6071864629
14247.89072	1.588676316	1	98	1	5	6	14	1	8	1	14248.48647	0.5081224105
14249.4794	1.588695873	1	99	1	5	6	15	1	8	1	14250.07516	0.5152563306
14251.06809	1.588684739	1	100	1	5	6	16	2	7	1	14251.66386	0.6143056132
14252.65678	1.588690309	1	101	1	5	6	17	1	7	1	14253.25254	0.6071988855
14254.24547	1.58869689	1	102	1	5	6	18	1	7	1	14254.84121	0.5152252226
14255.83417	1.588670439	1	103	1	5	6	19	2	6	1	14256.42991	0.6014565513
14257.42284	1.588679693	1	104	1	5	6	20	1	6	1	14258.01859	0.6060044141
14259.01152	1.588691285	1	105	1	5	6	21	2	6	1	14259.60727	0.7123710955
14260.60021	1.588685249	1	106	1	5	6	22	2	5	1	14261.19597	0.8011775128
14262.18889	1.588675378	1	107	1	5	6	23	2	5	1	14262.78464	0.7143491642
14263.77757	1.58869117	1	108	1	5	6	24	2	5	1	14264.37335	0.7051207316
14265.36626	1.588709895	1	109	1	9	7	1	3	n/a	n/a	n/a	n/a
14266.95497	1.588669153	1	110	1	9	7	2	3	n/a	n/a	n/a	n/a
14268.54364	1.588682428	1	111	1	9	7	3	3	n/a	n/a	n/a	n/a
14270.13232	1.588683805	1	112	1	9	7	4	3	n/a	n/a	n/a	n/a
14271.72101	1.588686702	1	113	1	9	7	5	3	n/a	n/a	n/a	n/a
14273.30969	1.588689011	1	114	1	9	7	6	3	n/a	n/a	n/a	n/a
14274.89838	1.588686157	1	115	1	9	7	7	3	n/a	n/a	n/a	n/a
14276.48707	1.588673888	1	116	1	9	7	8	3	n/a	n/a	n/a	n/a
14278.07574	1.588699398	1	117	1	9	7	9	3	n/a	n/a	n/a	n/a
14279.66444	1.588675651	1	118	1	9	7	10	3	n/a	n/a	n/a	n/a
14281.25312	1.588685291	1	119	1	9	7	11	3	n/a	n/a	n/a	n/a
14282.8418	1.588694344	1	120	1	9	7	12	3	n/a	n/a	n/a	n/a
14284.4305	1.588680354	1	121	1	7	8	1	2	4	0	14285.02624	0.4069489961
14286.01918	1.588698655	1	122	1	7	8	2	2	5	0	14286.61494	0.4044282892
14287.60787	1.588674475	1	123	1	7	8	3	1	6	0	14288.20363	0.4185574341
14289.19655	1.588687445	1	124	1	7	8	4	2	7	0	14289.79233	0.5144390812
14290.78524	1.588687841	1	125	1	7	8	5	2	8	1	14291.381	0.5085050752
14292.37392	1.588675653	1	126	1	7	8	6	1	8	1	14292.96968	0.6066600433
14293.9626	1.588699163	1	127	1	7	8	7	1	8	1	14294.55836	0.4110082879
14295.5513	1.588674556	1	128	1	7	8	8	2	7	1	14296.14706	0.4258776944
14297.13997	1.588684935	1	129	1	7	8	9	1	7	1	14297.73573	0.4174099418
14298.72866	1.588684785	1	130	1	7	8	10	1	7	1	14299.32442	0.5077784922
14300.31734	1.588684388	1	131	1	7	8	11	1	6	0	14300.9131	0.5065661141
14301.90603	1.588717814	1	132	1	7	8	12	1	7	1	14302.50179	0.5170248222
14303.49475	1.588652376	1	133	1	7	8	13	2	7	1	14304.09047	0.517239843
14305.0834	1.588694579	1	134	1	7	8	14	1	7	1	14305.67917	0.4178081631
14306.67209	1.588678512	1	135	1	7	8	15	1	6	1	14307.26785	0.4261740898
14308.26077	1.588686741	1	136	1	7	8	16	2	6	1	14308.85653	0.5078502285
14309.84946	1.588695833	1	137	1	7	8	17	1	6	1	14310.44521	0.5166691117
14311.43815	1.588683056	1	138	1	7	8	18	2	5	0	14312.0339	0.6166864057
14313.02684	1.588689565	1	139	1	7	8	19	1	6	1	14313.62259	0.509190763
14314.61553	1.588679884	1	140	1	7	8	20	2	6	1	14315.21127	0.6164095244
14316.20421	1.588687447	1	141	1	7	8	21	1	6	1	14316.79996	0.7084433295
14317.79289	1.58869113	1	142	1	7	8	22	1	5	1	14318.38865	0.6162373713
14319.38159	1.588675376	1	143	1	7	8	23	2	5	n/a	14319.97734	n/a
14320.97026	1.588689291	1	144	1	7	8	24	1	5	1	14321.56603	0.6129840804
14322.55895	1.588691405	1	145	1	9	9	1	3	n/a	n/a	n/a	n/a
14324.14764	1.588700998	1	146	1	9	9	2	3	n/a	n/a	n/a	n/a
14325.73634	1.588674403	1	147	1	9	9	3	3	n/a	n/a	n/a	n/a
14327.32502	1.588671732	1	148	1	9	9	4	3	n/a	n/a	n/a	n/a
14328.91369	1.588692737	1	149	1	9	9	5	3	n/a	n/a	n/a	n/a
14330.50238	1.588685332	1	150	1	9	9	6	3	n/a	n/a	n/a	n/a
14332.09107	1.588686505	1	151	1	9	9	7	3	n/a	n/a	n/a	n/a
14333.67975	1.588685056	1	152	1	9	9	8	3	n/a	n/a	n/a	n/a
14335.26844	1.588672007	1	153	1	9	9	9	3	n/a	n/a	n/a	n/a
14336.85711	1.5887088	1	154	1	9	9	10	3	n/a	n/a	n/a	n/a
14338.44582	1.58867671	1	155	1	9	9	11	3	n/a	n/a	n/a	n/a
14340.0345	1.58868345	1	156	1	9	9	12	3	n/a	n/a	n/a	n/a
