onset	duration	run_number	trial_number	att_task	bar_direction	bar_period	bar_step	stim_noise_ori	stim_stair_val	response_val	probe_time	reaction_time
13884.30554	1.6027053	2	1	1	9	1	1	3	n/a	n/a	n/a	n/a
13885.90824	1.6007797	2	2	1	9	1	2	3	n/a	n/a	n/a	n/a
13887.50902	1.602083	2	3	1	9	1	3	3	n/a	n/a	n/a	n/a
13889.1111	1.6010445	2	4	1	9	1	4	3	n/a	n/a	n/a	n/a
13890.71215	1.6010272	2	5	1	9	1	5	3	n/a	n/a	n/a	n/a
13892.31318	1.6001648	2	6	1	9	1	6	3	n/a	n/a	n/a	n/a
13893.91334	1.6004126	2	7	1	9	1	7	3	n/a	n/a	n/a	n/a
13895.51375	1.6017363	2	8	1	9	1	8	3	n/a	n/a	n/a	n/a
13897.11549	1.5995145	2	9	1	9	1	9	3	n/a	n/a	n/a	n/a
13898.715	1.6008208	2	10	1	9	1	10	3	n/a	n/a	n/a	n/a
13900.31582	1.6011217	2	11	1	9	1	11	3	n/a	n/a	n/a	n/a
13901.91695	1.5994192	2	12	1	9	1	12	3	n/a	n/a	n/a	n/a
13903.51637	1.602086	2	13	1	1	2	1	2	6	n/a	13904.11758	n/a
13905.11845	1.6022463	2	14	1	1	2	2	2	6	n/a	13905.71944	n/a
13906.7207	1.6006796	2	15	1	1	2	3	2	6	n/a	13907.32118	n/a
13908.32138	1.6021949	2	16	1	1	2	4	1	6	n/a	13908.92202	n/a
13909.92357	1.5998485	2	17	1	1	2	5	1	6	1	13910.52245	0.1088529
13911.52342	1.6025135	2	18	1	1	2	6	2	6	0	13912.124	-0.0912543
13913.12593	1.5991233	2	19	1	1	2	7	1	7	n/a	13913.72627	n/a
13914.72506	1.6014476	2	20	1	1	2	8	1	7	n/a	13915.32583	n/a
13916.3265	1.6017422	2	21	1	1	2	9	2	7	n/a	13916.92792	n/a
13917.92825	1.6006448	2	22	1	1	2	10	2	7	n/a	13918.52828	n/a
13919.52889	1.6014035	2	23	1	1	2	11	1	7	n/a	13920.12977	n/a
13921.1303	1.6016146	2	24	1	1	2	12	1	7	1	13921.7307	0.8089771
13922.73191	1.6008583	2	25	1	1	2	13	1	7	0	13923.33142	0.7107444
13924.33277	1.6043588	2	26	1	1	2	14	2	8	1	13924.93368	0.906888
13925.93713	1.600956	2	27	1	1	2	15	2	8	1	13926.5377	0.8035877
13927.53808	1.6020195	2	28	1	1	2	16	1	8	1	13928.13881	0.8106103
13929.1401	1.6039179	2	29	1	1	2	17	1	7	1	13929.74146	0.6050937
13930.74402	1.6019372	2	30	1	1	2	18	1	7	1	13931.34499	0.8041794
13932.34596	1.6020574	2	31	1	1	2	19	2	7	1	13932.94628	0.5094069
13933.94802	1.6013622	2	32	1	1	2	20	2	6	1	13934.5486	0.910462
13935.54938	1.6007475	2	33	1	1	2	21	2	6	1	13936.14962	0.7033764
13937.15012	1.6004081	2	34	1	1	2	22	1	6	n/a	13937.75067	n/a
13938.75053	1.5992284	2	35	1	1	2	23	1	6	n/a	13939.35153	n/a
13940.34976	1.6006889	2	36	1	1	2	24	2	6	n/a	13940.94994	n/a
13941.95045	1.6016658	2	37	1	9	3	1	3	n/a	n/a	n/a	n/a
13943.55212	1.6000893	2	38	1	9	3	2	3	n/a	n/a	n/a	n/a
13945.15221	1.6019867	2	39	1	9	3	3	3	n/a	n/a	n/a	n/a
13946.75419	1.6002916	2	40	1	9	3	4	3	n/a	n/a	n/a	n/a
13948.35448	1.6014997	2	41	1	9	3	5	3	n/a	n/a	n/a	n/a
13949.95598	1.6002628	2	42	1	9	3	6	3	n/a	n/a	n/a	n/a
13951.55625	1.6008019	2	43	1	9	3	7	3	n/a	n/a	n/a	n/a
13953.15705	1.6007561	2	44	1	9	3	8	3	n/a	n/a	n/a	n/a
13954.7578	1.6008182	2	45	1	9	3	9	3	n/a	n/a	n/a	n/a
13956.35862	1.5988693	2	46	1	9	3	10	3	n/a	n/a	n/a	n/a
13957.95749	1.6009448	2	47	1	9	3	11	3	n/a	n/a	n/a	n/a
13959.55844	1.6011512	2	48	1	9	3	12	3	n/a	n/a	n/a	n/a
13961.15959	1.6015919	2	49	1	3	4	1	2	6	n/a	13961.76015	n/a
13962.76118	1.5999737	2	50	1	3	4	2	2	6	0	13963.36098	0.206756
13964.36115	1.5998703	2	51	1	3	4	3	1	7	1	13964.96133	0.1031404
13965.96102	1.6004094	2	52	1	3	4	4	2	7	n/a	13966.56131	n/a
13967.56143	1.6007426	2	53	1	3	4	5	1	7	1	13968.16137	0.9090219
13969.16218	1.6001268	2	54	1	3	4	6	2	7	n/a	13969.7628	n/a
13970.7623	1.6024782	2	55	1	3	4	7	1	7	n/a	13971.36481	n/a
13972.36478	1.6000236	2	56	1	3	4	8	1	7	1	13972.96387	0.9042732
13973.9648	1.6009604	2	57	1	3	4	9	2	6	n/a	13974.56548	n/a
13975.56576	1.6021002	2	58	1	3	4	10	1	6	n/a	13976.16665	n/a
13977.16786	1.6018638	2	59	1	3	4	11	2	6	0	13977.76828	0.3040629
13978.76973	1.6021783	2	60	1	3	4	12	1	7	1	13979.37069	0.9097331
13980.37191	1.6011775	2	61	1	3	4	13	2	7	1	13980.97222	0.7100188
13981.97308	1.6016266	2	62	1	3	4	14	2	7	1	13982.57377	0.8099524
13983.57471	1.6001606	2	63	1	3	4	15	1	6	1	13984.17446	0.7047735
13985.17487	1.5996041	2	64	1	3	4	16	1	6	n/a	13985.77411	n/a
13986.77448	1.6015016	2	65	1	3	4	17	2	6	n/a	13987.37539	n/a
13988.37598	1.6012219	2	66	1	3	4	18	2	6	1	13988.97629	0.8089962
13989.9772	1.6017658	2	67	1	3	4	19	2	6	n/a	13990.57754	n/a
13991.57896	1.6023009	2	68	1	3	4	20	1	6	0	13992.17996	0.203657
13993.18127	1.5997653	2	69	1	3	4	21	2	7	0	13993.78131	0.7077384
13994.78103	1.6023958	2	70	1	3	4	22	1	8	0	13995.38186	0.3036858
13996.38343	1.6025542	2	71	1	3	4	23	2	9	0	13996.98406	0.2090463
13997.98598	1.600491	2	72	1	3	4	24	2	10	1	13998.58656	0.9068194
13999.58647	1.6004099	2	73	1	9	5	1	3	n/a	n/a	n/a	n/a
14001.18688	1.6011439	2	74	1	9	5	2	3	n/a	n/a	n/a	n/a
14002.78803	1.6013474	2	75	1	9	5	3	3	n/a	n/a	n/a	n/a
14004.38937	1.600866	2	76	1	9	5	4	3	n/a	n/a	n/a	n/a
14005.99024	1.6012216	2	77	1	9	5	5	3	n/a	n/a	n/a	n/a
14007.59146	1.6017588	2	78	1	9	5	6	3	n/a	n/a	n/a	n/a
14009.19322	1.6011363	2	79	1	9	5	7	3	n/a	n/a	n/a	n/a
14010.79436	1.6012568	2	80	1	9	5	8	3	n/a	n/a	n/a	n/a
14012.39561	1.6002301	2	81	1	9	5	9	3	n/a	n/a	n/a	n/a
14013.99584	1.6015259	2	82	1	9	5	10	3	n/a	n/a	n/a	n/a
14015.59737	1.6017415	2	83	1	9	5	11	3	n/a	n/a	n/a	n/a
14017.19911	1.6005982	2	84	1	9	5	12	3	n/a	n/a	n/a	n/a
14018.79971	1.6004951	2	85	1	5	6	1	1	10	1	14019.40026	0.7031277
14020.4002	1.6009714	2	86	1	5	6	2	1	10	1	14021.00038	0.6041557
14022.00117	1.6011441	2	87	1	5	6	3	1	9	1	14022.60169	0.7090706
14023.60232	1.6014844	2	88	1	5	6	4	2	9	1	14024.20295	0.9039053
14025.2038	1.6015008	2	89	1	5	6	5	2	9	1	14025.80471	0.7083165
14026.8053	1.5992583	2	90	1	5	6	6	2	8	1	14027.40509	0.7026543
14028.40456	1.6008306	2	91	1	5	6	7	2	8	1	14029.00411	0.8096023
14030.00539	1.6001792	2	92	1	5	6	8	1	8	1	14030.60591	0.6052893
14031.60557	1.6021664	2	93	1	5	6	9	1	7	1	14032.20617	0.9049678
14033.20774	1.6018512	2	94	1	5	6	10	2	7	0	14033.80828	0.8089547
14034.80959	1.6012634	2	95	1	5	6	11	2	8	1	14035.40917	0.9053532
14036.41085	1.6024969	2	96	1	5	6	12	2	8	n/a	14037.0117	n/a
14038.01335	1.6000818	2	97	1	5	6	13	1	8	1	14038.61305	0.6030766
14039.61343	1.6014929	2	98	1	5	6	14	1	8	1	14040.21389	0.7094086
14041.21493	1.601578	2	99	1	5	6	15	2	7	n/a	14041.81585	n/a
14042.8165	1.5999372	2	100	1	5	6	16	1	7	n/a	14043.41615	n/a
14044.41644	1.6020516	2	101	1	5	6	17	2	7	1	14045.01683	0.8098019
14046.01849	1.6012834	2	102	1	5	6	18	2	7	n/a	14046.61937	n/a
14047.61978	1.6019149	2	103	1	5	6	19	2	7	0	14048.22081	0.4088012
14049.22169	1.601774	2	104	1	5	6	20	1	8	0	14049.82264	0.5084149
14050.82346	1.602569	2	105	1	5	6	21	2	9	n/a	14051.4244	n/a
14052.42603	1.602424	2	106	1	5	6	22	1	9	1	14053.02701	0.7090471
14054.02846	1.6028457	2	107	1	5	6	23	1	9	1	14054.62912	0.709032
14055.6313	1.6012297	2	108	1	5	6	24	1	9	1	14056.23179	0.5081273
14057.23253	1.6019206	2	109	1	9	7	1	3	n/a	n/a	n/a	n/a
14058.83445	1.6019518	2	110	1	9	7	2	3	n/a	n/a	n/a	n/a
14060.4364	1.6000972	2	111	1	9	7	3	3	n/a	n/a	n/a	n/a
14062.0365	1.6013352	2	112	1	9	7	4	3	n/a	n/a	n/a	n/a
14063.63784	1.6003324	2	113	1	9	7	5	3	n/a	n/a	n/a	n/a
14065.23817	1.6008035	2	114	1	9	7	6	3	n/a	n/a	n/a	n/a
14066.83897	1.6011444	2	115	1	9	7	7	3	n/a	n/a	n/a	n/a
14068.44012	1.6013318	2	116	1	9	7	8	3	n/a	n/a	n/a	n/a
14070.04145	1.600835	2	117	1	9	7	9	3	n/a	n/a	n/a	n/a
14071.64228	1.6016859	2	118	1	9	7	10	3	n/a	n/a	n/a	n/a
14073.24397	1.6012912	2	119	1	9	7	11	3	n/a	n/a	n/a	n/a
14074.84526	1.6009426	2	120	1	9	7	12	3	n/a	n/a	n/a	n/a
14076.4462	1.6006949	2	121	1	7	8	1	1	8	1	14077.0469	0.6076107
14078.0469	1.6018569	2	122	1	7	8	2	1	8	1	14078.64775	0.4086236
14079.64876	1.601671	2	123	1	7	8	3	2	8	1	14080.24882	0.7044646
14081.25043	1.6020745	2	124	1	7	8	4	1	7	1	14081.85131	0.7045558
14082.8525	1.6019088	2	125	1	7	8	5	2	7	1	14083.45361	0.7091337
14084.45441	1.6013862	2	126	1	7	8	6	1	7	1	14085.05497	0.6086589
14086.0558	1.6016085	2	127	1	7	8	7	1	6	n/a	14086.65663	n/a
14087.6574	1.6014198	2	128	1	7	8	8	2	6	n/a	14088.25797	n/a
14089.25882	1.6001158	2	129	1	7	8	9	1	6	n/a	14089.85927	n/a
14090.85894	1.6018242	2	130	1	7	8	10	1	6	1	14091.45919	0.7100769
14092.46076	1.6014292	2	131	1	7	8	11	2	6	0	14093.06171	0.7090622
14094.06219	1.6007968	2	132	1	7	8	12	1	7	0	14094.6617	0.8106501
14095.66299	1.6022513	2	133	1	7	8	13	1	8	1	14096.26406	0.6085783
14097.26524	1.6014738	2	134	1	7	8	14	2	8	1	14097.86606	0.8076961
14098.86672	1.6024334	2	135	1	7	8	15	2	8	n/a	14099.46771	n/a
14100.46915	1.5996023	2	136	1	7	8	16	1	8	1	14101.06892	0.7030556
14102.06875	1.6023456	2	137	1	7	8	17	1	7	1	14102.67007	0.9085039
14103.6711	1.6012255	2	138	1	7	8	18	2	7	1	14104.27211	0.9087103
14105.27232	1.6017771	2	139	1	7	8	19	1	7	1	14105.87297	0.9044567
14106.8741	1.6018061	2	140	1	7	8	20	1	6	n/a	14107.4747	n/a
14108.47591	1.6021498	2	141	1	7	8	21	2	6	1	14109.07606	0.8096518
