onset	duration	run_number	trial_number	att_task	bar_direction	bar_period	bar_step	stim_noise_ori	stim_stair_val	response_val	probe_time	reaction_time
11741.25873	1.5166155	1	1	1	9	1	1	3	n/a	n/a	n/a	n/a
11742.77535	1.5315984	1	2	1	9	1	2	3	n/a	n/a	n/a	n/a
11744.30695	1.5317625	1	3	1	9	1	3	3	n/a	n/a	n/a	n/a
11745.83871	1.5335237	1	4	1	9	1	4	3	n/a	n/a	n/a	n/a
11747.37223	1.532948	1	5	1	9	1	5	3	n/a	n/a	n/a	n/a
11748.90518	1.5329904	1	6	1	9	1	6	3	n/a	n/a	n/a	n/a
11750.43817	1.5335569	1	7	1	9	1	7	3	n/a	n/a	n/a	n/a
11751.97173	1.5329137	1	8	1	9	1	8	3	n/a	n/a	n/a	n/a
11753.50464	1.5321943	1	9	1	9	1	9	3	n/a	n/a	n/a	n/a
11755.03684	1.5337037	1	10	1	9	1	10	3	n/a	n/a	n/a	n/a
11756.57054	1.5338879	1	11	1	9	1	11	3	n/a	n/a	n/a	n/a
11758.10443	1.5358766	1	12	1	9	1	12	3	n/a	n/a	n/a	n/a
11759.6403	1.5333218	1	13	1	1	2	1	2	9	n/a	11760.21565	n/a
11761.17362	1.5330988	1	14	1	1	2	2	1	9	n/a	11761.74873	n/a
11762.70672	1.5322897	1	15	1	1	2	3	1	9	n/a	11763.28081	n/a
11764.23901	1.5326185	1	16	1	1	2	4	1	9	n/a	11764.81405	n/a
11765.77163	1.5331955	1	17	1	1	2	5	1	9	n/a	11766.34682	n/a
11767.30483	1.5335031	1	18	1	1	2	6	1	9	n/a	11767.87979	n/a
11768.83833	1.533262	1	19	1	1	2	7	2	9	n/a	11769.41285	n/a
11770.37159	1.5333227	1	20	1	1	2	8	2	9	n/a	11770.94641	n/a
11771.90492	1.5340813	1	21	1	1	2	9	1	9	n/a	11772.48007	n/a
11773.439	1.5330397	1	22	1	1	2	10	2	9	n/a	11774.01402	n/a
11774.97204	1.533829	1	23	1	1	2	11	2	9	n/a	11775.54684	n/a
11776.50587	1.5335152	1	24	1	1	2	12	1	9	n/a	11777.08114	n/a
11778.03938	1.5337535	1	25	1	1	2	13	2	9	n/a	11778.61494	n/a
11779.57313	1.5337225	1	26	1	1	2	14	2	9	n/a	11780.14835	n/a
11781.10686	1.5328924	1	27	1	1	2	15	2	9	n/a	11781.68133	n/a
11782.63975	1.5337537	1	28	1	1	2	16	2	9	n/a	11783.21521	n/a
11784.1735	1.5335565	1	29	1	1	2	17	1	9	n/a	11784.74844	n/a
11785.70706	1.5325864	1	30	1	1	2	18	1	9	n/a	11786.28156	n/a
11787.23965	1.5327225	1	31	1	1	2	19	1	9	n/a	11787.81355	n/a
11788.77237	1.5331561	1	32	1	1	2	20	2	9	n/a	11789.34708	n/a
11790.30552	1.5329096	1	33	1	1	2	21	2	9	1	11790.88033	0.492755
11791.83843	1.5321496	1	34	1	1	2	22	1	9	0	11792.4132	0.5880246
11793.37058	1.5317949	1	35	1	1	2	23	2	10	0	11793.94552	0.7796896
11794.90238	1.5332809	1	36	1	1	2	24	2	11	n/a	11795.47753	n/a
11796.43566	1.5335954	1	37	1	9	3	1	3	n/a	n/a	n/a	n/a
