onset	duration	run_number	trial_number	att_task	bar_direction	bar_period	bar_step	stim_noise_ori	stim_stair_val	response_val	probe_time	reaction_time
26097.19253	1.5988267	1	1	1	9	1	1	3	n/a	n/a	n/a	n/a
26098.79136	1.5994797	1	2	1	9	1	2	3	n/a	n/a	n/a	n/a
26100.39084	1.5926111	1	3	1	9	1	3	3	n/a	n/a	n/a	n/a
26101.98345	1.5942731	1	4	1	9	1	4	3	n/a	n/a	n/a	n/a
26103.57772	1.5936072	1	5	1	9	1	5	3	n/a	n/a	n/a	n/a
26105.17133	1.5910197	1	6	1	9	1	6	3	n/a	n/a	n/a	n/a
26106.76235	1.595131	1	7	1	9	1	7	3	n/a	n/a	n/a	n/a
26108.35748	1.5927808	1	8	1	9	1	8	3	n/a	n/a	n/a	n/a
26109.95026	1.5954221	1	9	1	9	1	9	3	n/a	n/a	n/a	n/a
26111.54568	1.5955239	1	10	1	9	1	10	3	n/a	n/a	n/a	n/a
26113.14121	1.5960228	1	11	1	9	1	11	3	n/a	n/a	n/a	n/a
26114.73723	1.5949941	1	12	1	9	1	12	3	n/a	n/a	n/a	n/a
26116.33222	1.5937296	1	13	1	1	2	1	2	9	n/a	26116.92854	n/a
26117.92595	1.5885972	1	14	1	1	2	2	2	9	n/a	26118.52122	n/a
26119.51455	1.5887949	1	15	1	1	2	3	2	9	n/a	26120.10941	n/a
26121.10335	1.5872479	1	16	1	1	2	4	2	9	n/a	26121.69951	n/a
26122.69059	1.5834017	1	17	1	1	2	5	2	9	n/a	26123.28503	n/a
26124.274	1.5863238	1	18	1	1	2	6	1	9	n/a	26124.86979	n/a
26125.86032	1.5889263	1	19	1	1	2	7	2	9	n/a	26126.45651	n/a
26127.44925	1.5874531	1	20	1	1	2	8	1	9	n/a	26128.04376	n/a
26129.0367	1.5891771	1	21	1	1	2	9	1	9	n/a	26129.63288	n/a
26130.62588	1.5884414	1	22	1	1	2	10	1	9	n/a	26131.2218	n/a
26132.21432	1.5888828	1	23	1	1	2	11	2	9	n/a	26132.80999	n/a
26133.8032	1.5879401	1	24	1	1	2	12	1	9	n/a	26134.39953	n/a
26135.39114	1.5917837	1	25	1	1	2	13	2	9	n/a	26135.99003	n/a
26136.98292	1.5891543	1	26	1	1	2	14	1	9	n/a	26137.57881	n/a
26138.57208	1.5901346	1	27	1	1	2	15	2	9	n/a	26139.16822	n/a
26140.16221	1.5889157	1	28	1	1	2	16	1	9	n/a	26140.75784	n/a
26141.75113	1.5886869	1	29	1	1	2	17	2	9	n/a	26142.34651	n/a
26143.33982	1.5896936	1	30	1	1	2	18	2	9	n/a	26143.93561	n/a
26144.92951	1.5960018	1	31	1	1	2	19	1	9	n/a	26145.526	n/a
26146.52551	1.5996148	1	32	1	1	2	20	2	9	n/a	26147.12545	n/a
26148.12513	1.5982123	1	33	1	1	2	21	2	9	n/a	26148.72531	n/a
26149.72334	1.6011094	1	34	1	1	2	22	1	9	n/a	26150.32497	n/a
26151.32445	1.5996605	1	35	1	1	2	23	2	9	n/a	26151.92377	n/a
26152.92411	1.6001055	1	36	1	1	2	24	1	9	n/a	26153.52486	n/a
26154.52421	1.5975925	1	37	1	9	3	1	3	n/a	n/a	n/a	n/a
26156.12181	1.5925988	1	38	1	9	3	2	3	n/a	n/a	n/a	n/a
26157.7144	1.5855212	1	39	1	9	3	3	3	n/a	n/a	n/a	n/a
26159.29993	1.5874817	1	40	1	9	3	4	3	n/a	n/a	n/a	n/a
26160.88741	1.5870612	1	41	1	9	3	5	3	n/a	n/a	n/a	n/a
26162.47447	1.5882845	1	42	1	9	3	6	3	n/a	n/a	n/a	n/a
26164.06275	1.5892291	1	43	1	9	3	7	3	n/a	n/a	n/a	n/a
26165.65198	1.5881352	1	44	1	9	3	8	3	n/a	n/a	n/a	n/a
26167.24012	1.5897517	1	45	1	9	3	9	3	n/a	n/a	n/a	n/a
26168.82987	1.5890743	1	46	1	9	3	10	3	n/a	n/a	n/a	n/a
26170.41894	1.586412	1	47	1	9	3	11	3	n/a	n/a	n/a	n/a
26172.00536	1.5882016	1	48	1	9	3	12	3	n/a	n/a	n/a	n/a
26173.59356	1.5874282	1	49	1	3	4	1	1	9	n/a	26174.18836	n/a
26175.18099	1.5892972	1	50	1	3	4	2	2	9	n/a	26175.77713	n/a
26176.77028	1.58813	1	51	1	3	4	3	1	9	n/a	26177.36625	n/a
26178.35841	1.5892643	1	52	1	3	4	4	1	9	n/a	26178.95476	n/a
26179.94768	1.5880611	1	53	1	3	4	5	2	9	n/a	26180.54329	n/a
26181.53574	1.5891554	1	54	1	3	4	6	2	9	n/a	26182.13213	n/a
26183.12489	1.5896569	1	55	1	3	4	7	2	9	n/a	26183.72103	n/a
26184.71455	1.5890934	1	56	1	3	4	8	2	9	n/a	26185.31014	n/a
26186.30364	1.5897476	1	57	1	3	4	9	2	9	n/a	26186.89973	n/a
26187.89339	1.5893933	1	58	1	3	4	10	1	9	n/a	26188.48914	n/a
26189.48278	1.58657	1	59	1	3	4	11	1	9	n/a	26190.07747	n/a
26191.06935	1.5938549	1	60	1	3	4	12	1	9	n/a	26191.66626	n/a
26192.66321	1.5951866	1	61	1	3	4	13	2	9	n/a	26193.25995	n/a
26194.2584	1.5943343	1	62	1	3	4	14	1	9	n/a	26194.85655	n/a
26195.85273	1.5963237	1	63	1	3	4	15	1	9	n/a	26196.45195	n/a
26197.44905	1.5957313	1	64	1	3	4	16	2	9	n/a	26198.04654	n/a
26199.04479	1.5950911	1	65	1	3	4	17	1	9	n/a	26199.64187	n/a
26200.63988	1.5892191	1	66	1	3	4	18	1	9	n/a	26201.23731	n/a
26202.2291	1.5887142	1	67	1	3	4	19	1	9	n/a	26202.82436	n/a
26203.81781	1.5893021	1	68	1	3	4	20	1	9	n/a	26204.41379	n/a
26205.40711	1.5905507	1	69	1	3	4	21	2	9	n/a	26206.00458	n/a
26206.99766	1.5890898	1	70	1	3	4	22	1	9	n/a	26207.59373	n/a
26208.58675	1.5889324	1	71	1	3	4	23	2	9	n/a	26209.18313	n/a
26210.17568	1.5899449	1	72	1	3	4	24	1	9	n/a	26210.77202	n/a
26211.76563	1.5884087	1	73	1	9	5	1	3	n/a	n/a	n/a	n/a
26213.35404	1.5895023	1	74	1	9	5	2	3	n/a	n/a	n/a	n/a
26214.94354	1.5894396	1	75	1	9	5	3	3	n/a	n/a	n/a	n/a
26216.53298	1.5902422	1	76	1	9	5	4	3	n/a	n/a	n/a	n/a
26218.12322	1.5893946	1	77	1	9	5	5	3	n/a	n/a	n/a	n/a
26219.71262	1.5885236	1	78	1	9	5	6	3	n/a	n/a	n/a	n/a
26221.30114	1.5974017	1	79	1	9	5	7	3	n/a	n/a	n/a	n/a
26222.89854	1.5938229	1	80	1	9	5	8	3	n/a	n/a	n/a	n/a
26224.49236	1.5895679	1	81	1	9	5	9	3	n/a	n/a	n/a	n/a
26226.08193	1.5885679	1	82	1	9	5	10	3	n/a	n/a	n/a	n/a
26227.6705	1.5889896	1	83	1	9	5	11	3	n/a	n/a	n/a	n/a
26229.25949	1.5892597	1	84	1	9	5	12	3	n/a	n/a	n/a	n/a
26230.84875	1.5897363	1	85	1	5	6	1	1	9	n/a	26231.4448	n/a
26232.43849	1.5893017	1	86	1	5	6	2	2	9	n/a	26233.0346	n/a
