onset	duration	run_number	trial_number	att_task	bar_direction	bar_period	bar_step	stim_noise_ori	stim_stair_val	response_val	probe_time	reaction_time
4891.729619	1.5266754	1	1	1	9	1	1	3	n/a	n/a	n/a	n/a
4893.256294	1.5310785	1	2	1	9	1	2	3	n/a	n/a	n/a	n/a
4894.787373	1.5283383	1	3	1	9	1	3	3	n/a	n/a	n/a	n/a
4896.315711	1.5291869	1	4	1	9	1	4	3	n/a	n/a	n/a	n/a
4897.844898	1.526286	1	5	1	9	1	5	3	n/a	n/a	n/a	n/a
4899.371184	1.5233881	1	6	1	9	1	6	3	n/a	n/a	n/a	n/a
4900.894572	1.5225259	1	7	1	9	1	7	3	n/a	n/a	n/a	n/a
4902.417098	1.5220461	1	8	1	9	1	8	3	n/a	n/a	n/a	n/a
4903.939144	1.5222175	1	9	1	9	1	9	3	n/a	n/a	n/a	n/a
4905.461362	1.5223875	1	10	1	9	1	10	3	n/a	n/a	n/a	n/a
4906.983749	1.5225757	1	11	1	9	1	11	3	n/a	n/a	n/a	n/a
4908.506325	1.5210645	1	12	1	9	1	12	3	n/a	n/a	n/a	n/a
4910.02739	1.5220294	1	13	1	1	2	1	2	9	n/a	4910.598309	n/a
4911.549419	1.5236831	1	14	1	1	2	2	2	9	n/a	4912.12086	n/a
4913.073102	1.5215197	1	15	1	1	2	3	2	9	n/a	4913.643437	n/a
4914.594622	1.5219865	1	16	1	1	2	4	2	9	n/a	4915.164989	n/a
4916.116608	1.5218243	1	17	1	1	2	5	1	9	n/a	4916.686821	n/a
4917.638432	1.5208496	1	18	1	1	2	6	1	9	n/a	4918.209544	n/a
4919.159282	1.5211131	1	19	1	1	2	7	1	9	n/a	4919.729048	n/a
4920.680395	1.5219632	1	20	1	1	2	8	1	9	n/a	4921.251813	n/a
4922.202358	1.5247918	1	21	1	1	2	9	2	9	n/a	4922.774923	n/a
4923.72715	1.5237809	1	22	1	1	2	10	1	9	n/a	4924.298498	n/a
4925.250931	1.5231259	1	23	1	1	2	11	2	9	n/a	4925.822082	n/a
4926.774057	1.5226196	1	24	1	1	2	12	1	9	n/a	4927.345469	n/a
4928.296677	1.5217128	1	25	1	1	2	13	2	9	n/a	4928.866787	n/a
4929.818389	1.5232762	1	26	1	1	2	14	2	9	n/a	4930.389667	n/a
4931.341666	1.5209633	1	27	1	1	2	15	1	9	n/a	4931.912241	n/a
4932.862629	1.5217347	1	28	1	1	2	16	1	9	n/a	4933.43255	n/a
4934.384364	1.5207437	1	29	1	1	2	17	2	9	n/a	4934.955416	n/a
4935.905107	1.5207673	1	30	1	1	2	18	1	9	n/a	4936.474689	n/a
4937.425875	1.5210883	1	31	1	1	2	19	2	9	n/a	4937.996778	n/a
4938.946963	1.5223196	1	32	1	1	2	20	2	9	n/a	4939.516588	n/a
4940.469283	1.5212914	1	33	1	1	2	21	1	9	n/a	4941.039803	n/a
4941.990574	1.5153885	1	34	1	1	2	22	2	9	1	4942.557301	0.6686001
4943.505962	1.5201819	1	35	1	1	2	23	1	9	n/a	4944.075486	n/a
4945.026144	1.520988	1	36	1	1	2	24	2	9	n/a	4945.596233	n/a
4946.547132	1.517952	1	37	1	9	3	1	3	n/a	n/a	n/a	n/a
4948.065084	1.5213951	1	38	1	9	3	2	3	n/a	n/a	n/a	n/a
4949.586479	1.5219119	1	39	1	9	3	3	3	n/a	n/a	n/a	n/a
4951.108391	1.5237816	1	40	1	9	3	4	3	n/a	n/a	n/a	n/a
4952.632173	1.5198043	1	41	1	9	3	5	3	n/a	n/a	n/a	n/a
4954.151977	1.5217529	1	42	1	9	3	6	3	n/a	n/a	n/a	n/a
4955.67373	1.5216	1	43	1	9	3	7	3	n/a	n/a	n/a	n/a
4957.19533	1.522077	1	44	1	9	3	8	3	n/a	n/a	n/a	n/a
4958.717407	1.5220824	1	45	1	9	3	9	3	n/a	n/a	n/a	n/a
4960.239489	1.5211891	1	46	1	9	3	10	3	n/a	n/a	n/a	n/a
4961.760679	1.5218948	1	47	1	9	3	11	3	n/a	n/a	n/a	n/a
4963.282573	1.5214268	1	48	1	9	3	12	3	n/a	n/a	n/a	n/a
4964.804	1.5223965	1	49	1	3	4	1	1	9	n/a	4965.374998	n/a
4966.326397	1.5219704	1	50	1	3	4	2	2	9	n/a	4966.897572	n/a
4967.848367	1.5207669	1	51	1	3	4	3	2	9	n/a	4968.419218	n/a
4969.369134	1.5223043	1	52	1	3	4	4	2	9	n/a	4969.939654	n/a
4970.891438	1.5229815	1	53	1	3	4	5	2	9	n/a	4971.46286	n/a
4972.41442	1.5218623	1	54	1	3	4	6	2	9	n/a	4972.985426	n/a
4973.936282	1.5220728	1	55	1	3	4	7	1	9	n/a	4974.507776	n/a
4975.458355	1.5226923	1	56	1	3	4	8	1	9	n/a	4976.029164	n/a
4976.981047	1.5208486	1	57	1	3	4	9	1	9	n/a	4977.550823	n/a
4978.501896	1.5220751	1	58	1	3	4	10	1	9	n/a	4979.073233	n/a
