onset	duration	run_number	trial_number	att_task	bar_direction	bar_period	bar_step	stim_noise_ori	stim_stair_val	response_val	probe_time	reaction_time
17733.57768	2.028245208	1	1	1	9	1	1	3	n/a	n/a	n/a	n/a
17735.60592	1.489129167	1	2	1	9	1	2	3	n/a	n/a	n/a	n/a
17737.09505	1.51972125	1	3	1	9	1	3	3	n/a	n/a	n/a	n/a
17738.61477	1.513990791	1	4	1	9	1	4	3	n/a	n/a	n/a	n/a
17740.12876	1.490870334	1	5	1	9	1	5	3	n/a	n/a	n/a	n/a
17741.61963	1.498707291	1	6	1	9	1	6	3	n/a	n/a	n/a	n/a
17743.11834	1.491456792	1	7	1	9	1	7	3	n/a	n/a	n/a	n/a
17744.6098	1.488588833	1	8	1	9	1	8	3	n/a	n/a	n/a	n/a
17746.09839	1.488798542	1	9	1	9	1	9	3	n/a	n/a	n/a	n/a
17747.58719	1.49038225	1	10	1	9	1	10	3	n/a	n/a	n/a	n/a
17749.07757	1.48907075	1	11	1	9	1	11	3	n/a	n/a	n/a	n/a
17750.56664	1.489412208	1	12	1	9	1	12	3	n/a	n/a	n/a	n/a
17752.05605	1.4904875	1	13	1	1	2	1	1	15	n/a	17752.6151	n/a
17753.54654	1.488822125	1	14	1	1	2	2	2	15	n/a	17754.10463	n/a
17755.03536	1.488121667	1	15	1	1	2	3	2	15	n/a	17755.59303	n/a
17756.52348	1.495898792	1	16	1	1	2	4	1	15	n/a	17757.08625	n/a
17758.01938	1.499918916	1	17	1	1	2	5	1	15	n/a	17758.58858	n/a
17759.5193	1.723175792	1	18	1	1	2	6	1	15	n/a	17760.08896	n/a
17761.24248	1.516380208	1	19	1	1	2	7	1	15	n/a	17761.81988	n/a
17762.75886	1.527029875	1	20	1	1	2	8	2	15	n/a	17763.35192	n/a
17764.28589	1.532225167	1	21	1	1	2	9	2	15	n/a	17764.86523	n/a
17765.81811	1.524352125	1	22	1	1	2	10	1	15	n/a	17766.39423	n/a
17767.34246	1.522765833	1	23	1	1	2	11	1	15	n/a	17767.92971	n/a
17768.86523	1.580861292	1	24	1	1	2	12	2	15	n/a	17769.44804	n/a
17770.44609	1.5242355	1	25	1	1	2	13	1	15	n/a	17771.03123	n/a
17771.97033	1.523729667	1	26	1	1	2	14	1	15	n/a	17772.55271	n/a
17773.49406	1.5414635	1	27	1	1	2	15	1	15	n/a	17774.073	n/a
17775.03552	1.524797208	1	28	1	1	2	16	1	15	n/a	17775.62389	n/a
17776.56032	1.523000625	1	29	1	1	2	17	2	15	n/a	17777.14229	n/a
17778.08332	1.520244667	1	30	1	1	2	18	1	15	n/a	17778.66662	n/a
17779.60356	1.529059125	1	31	1	1	2	19	2	15	n/a	17780.18311	n/a
17781.13262	1.50635125	1	32	1	1	2	20	1	15	n/a	17781.70497	n/a
17782.63897	1.490073083	1	33	1	1	2	21	1	15	n/a	17783.1979	n/a
17784.12905	1.48842975	1	34	1	1	2	22	2	15	n/a	17784.68631	n/a
17785.61747	1.489209583	1	35	1	1	2	23	1	15	n/a	17786.17551	n/a
17787.10668	1.489786334	1	36	1	1	2	24	2	15	n/a	17787.66503	n/a
17788.59647	1.489708125	1	37	1	9	3	1	3	n/a	n/a	n/a	n/a
17790.08618	1.490301666	1	38	1	9	3	2	3	n/a	n/a	n/a	n/a
17791.57648	1.490105167	1	39	1	9	3	3	3	n/a	n/a	n/a	n/a
17793.06659	1.489060083	1	40	1	9	3	4	3	n/a	n/a	n/a	n/a
17794.55565	1.500923125	1	41	1	9	3	5	3	n/a	n/a	n/a	n/a
17796.05657	1.489857334	1	42	1	9	3	6	3	n/a	n/a	n/a	n/a
17797.54643	1.489710458	1	43	1	9	3	7	3	n/a	n/a	n/a	n/a
17799.03614	1.494430083	1	44	1	9	3	8	3	n/a	n/a	n/a	n/a
17800.53057	1.490558	1	45	1	9	3	9	3	n/a	n/a	n/a	n/a
17802.02112	1.490100792	1	46	1	9	3	10	3	n/a	n/a	n/a	n/a
17803.51123	1.491516	1	47	1	9	3	11	3	n/a	n/a	n/a	n/a
17805.00274	1.495017292	1	48	1	9	3	12	3	n/a	n/a	n/a	n/a
17806.49776	1.489742875	1	49	1	3	4	1	1	15	n/a	17807.05641	n/a
17807.9875	1.488477166	1	50	1	3	4	2	2	15	n/a	17808.54614	n/a
17809.47598	1.487426792	1	51	1	3	4	3	1	15	n/a	17810.03348	n/a
17810.96341	1.488141542	1	52	1	3	4	4	1	15	n/a	17811.52121	n/a
17812.45155	1.49249	1	53	1	3	4	5	2	15	n/a	17813.01269	n/a
17813.94404	1.488781041	1	54	1	3	4	6	1	15	n/a	17814.50298	n/a
17815.43282	1.496891084	1	55	1	3	4	7	2	15	n/a	17815.99329	n/a
17816.92971	1.522000541	1	56	1	3	4	8	2	15	n/a	17817.50531	n/a
17818.45171	1.51379975	1	57	1	3	4	9	1	15	n/a	17819.01848	n/a
17819.96551	1.517404917	1	58	1	3	4	10	1	15	n/a	17820.55158	n/a
17821.48291	1.507839333	1	59	1	3	4	11	2	15	n/a	17822.05862	n/a
17822.99075	1.52611775	1	60	1	3	4	12	2	15	n/a	17823.57445	n/a
17824.51687	1.537147209	1	61	1	3	4	13	1	15	n/a	17825.09931	n/a
17826.05402	1.51406625	1	62	1	3	4	14	2	15	n/a	17826.62995	n/a
17827.56809	1.499694458	1	63	1	3	4	15	2	15	n/a	17828.13441	n/a
17829.06778	1.534306125	1	64	1	3	4	16	2	15	n/a	17829.65219	n/a
17830.60209	1.506997208	1	65	1	3	4	17	1	15	n/a	17831.17763	n/a
17832.10908	1.50200275	1	66	1	3	4	18	1	15	n/a	17832.6778	n/a
17833.61109	1.497595084	1	67	1	3	4	19	2	15	n/a	17834.17271	n/a
17835.10868	1.492928333	1	68	1	3	4	20	1	15	n/a	17835.67148	n/a
17836.60161	1.488043833	1	69	1	3	4	21	2	15	n/a	17837.15908	n/a
17838.08965	1.487480959	1	70	1	3	4	22	1	15	n/a	17838.64694	n/a
17839.57713	1.489601666	1	71	1	3	4	23	2	15	n/a	17840.1351	n/a
