onset	duration	run_number	trial_number	att_task	bar_direction	bar_period	bar_step	stim_noise_ori	stim_stair_val	response_val	probe_time	reaction_time
30704.52402	3.1982171	1	1	1	9	1	1	3	n/a	n/a	n/a	n/a
30707.72224	2.8163295	1	2	1	9	1	2	3	n/a	n/a	n/a	n/a
30710.53857	2.8911348	1	3	1	9	1	3	3	n/a	n/a	n/a	n/a
30713.4297	2.6913201	1	4	1	9	1	4	3	n/a	n/a	n/a	n/a
30716.12102	2.6496114	1	5	1	9	1	5	3	n/a	n/a	n/a	n/a
30718.77064	2.7162909	1	6	1	9	1	6	3	n/a	n/a	n/a	n/a
30721.48693	2.7246205	1	7	1	9	1	7	3	n/a	n/a	n/a	n/a
30724.21155	2.6662545	1	8	1	9	1	8	3	n/a	n/a	n/a	n/a
30726.8778	2.849634	1	9	1	9	1	9	3	n/a	n/a	n/a	n/a
30729.72744	2.7912202	1	10	1	9	1	10	3	n/a	n/a	n/a	n/a
30732.51866	2.7913008	1	11	1	9	1	11	3	n/a	n/a	n/a	n/a
30735.30996	2.9745768	1	12	1	9	1	12	3	n/a	n/a	n/a	n/a
30738.28453	2.8662467	1	13	1	1	2	1	1	15	n/a	30739.40937	n/a
30741.15078	2.7246132	1	14	1	1	2	2	2	15	n/a	30742.17565	n/a
30743.87539	2.7996029	1	15	1	1	2	3	1	15	n/a	30744.97524	n/a
30746.675	2.9163145	1	16	1	1	2	4	2	15	n/a	30747.74984	n/a
30749.59131	2.8162006	1	17	1	1	2	5	1	15	n/a	30750.63278	n/a
30752.40751	2.8829973	1	18	1	1	2	6	1	15	n/a	30753.50735	n/a
30755.29051	3.0161653	1	19	1	1	2	7	1	15	n/a	30756.44859	n/a
30758.30667	2.9079237	1	20	1	1	2	8	1	15	n/a	30759.44819	n/a
30761.2146	2.9245701	1	21	1	1	2	9	2	15	n/a	30762.35624	n/a
30764.13917	2.8329324	1	22	1	1	2	10	2	15	n/a	30765.18069	n/a
30766.9721	3.0162372	1	23	1	1	2	11	1	15	n/a	30768.14692	n/a
30769.98834	2.8995979	1	24	1	1	2	12	2	15	n/a	30771.0715	n/a
30772.88794	2.9245615	1	25	1	1	2	13	2	15	n/a	30773.95443	n/a
30775.8125	2.8663106	1	26	1	1	2	14	2	15	n/a	30776.91234	n/a
30778.67881	2.8828774	1	27	1	1	2	15	2	15	n/a	30779.80357	n/a
30781.56169	2.782932	1	28	1	1	2	16	1	15	n/a	30782.61151	n/a
30784.34462	2.8162658	1	29	1	1	2	17	2	15	n/a	30785.44446	n/a
30787.16088	2.8329614	1	30	1	1	2	18	2	15	n/a	30788.26901	n/a
30789.99384	2.7828755	1	31	1	1	2	19	2	15	n/a	30791.01861	n/a
