onset	duration	run_number	trial_number	att_task	bar_direction	bar_period	bar_step	stim_noise_ori	stim_stair_val	response_val	probe_time	reaction_time
4573.075725	1.5164441	1	1	1	9	1	1	3	n/a	n/a	n/a	n/a
4574.59217	1.5161549	1	2	1	9	1	2	3	n/a	n/a	n/a	n/a
4576.108324	1.5216476	1	3	1	9	1	3	3	n/a	n/a	n/a	n/a
4577.629972	1.5128856	1	4	1	9	1	4	3	n/a	n/a	n/a	n/a
4579.142858	1.5250355	1	5	1	9	1	5	3	n/a	n/a	n/a	n/a
4580.667893	1.5243299	1	6	1	9	1	6	3	n/a	n/a	n/a	n/a
4582.192223	1.517308	1	7	1	9	1	7	3	n/a	n/a	n/a	n/a
4583.709531	1.5175604	1	8	1	9	1	8	3	n/a	n/a	n/a	n/a
4585.227091	1.5240484	1	9	1	9	1	9	3	n/a	n/a	n/a	n/a
4586.75114	1.5217531	1	10	1	9	1	10	3	n/a	n/a	n/a	n/a
4588.272893	1.5175983	1	11	1	9	1	11	3	n/a	n/a	n/a	n/a
4589.790491	1.5117168	1	12	1	9	1	12	3	n/a	n/a	n/a	n/a
4591.302208	1.5221213	1	13	1	1	2	1	1	9	n/a	4591.874147	n/a
4592.824329	1.5191248	1	14	1	1	2	2	2	9	n/a	4593.396857	n/a
4594.343454	1.5173416	1	15	1	1	2	3	2	9	n/a	4594.910467	n/a
4595.860796	1.521759	1	16	1	1	2	4	2	9	n/a	4596.432555	n/a
4597.382555	1.5180816	1	17	1	1	2	5	1	9	n/a	4597.95237	n/a
4598.900636	1.5232006	1	18	1	1	2	6	2	9	n/a	4599.471488	n/a
4600.423837	1.5229165	1	19	1	1	2	7	2	9	n/a	4600.994667	n/a
4601.946754	1.5203376	1	20	1	1	2	8	1	9	n/a	4602.516307	n/a
4603.467091	1.5222247	1	21	1	1	2	9	1	9	n/a	4604.036427	n/a
4604.989316	1.5200463	1	22	1	1	2	10	2	9	n/a	4605.55898	n/a
4606.509362	1.5235772	1	23	1	1	2	11	1	9	n/a	4607.081346	n/a
4608.032939	1.5234557	1	24	1	1	2	12	2	9	n/a	4608.60354	n/a
4609.556395	1.5223151	1	25	1	1	2	13	2	9	n/a	4610.126091	n/a
4611.07871	1.5178853	1	26	1	1	2	14	1	9	n/a	4611.64464	n/a
4612.596595	1.5229134	1	27	1	1	2	15	1	9	n/a	4613.167914	n/a
4614.119509	1.5159365	1	28	1	1	2	16	2	9	n/a	4614.687983	n/a
4615.635445	1.5174964	1	29	1	1	2	17	2	9	n/a	4616.205564	n/a
4617.152942	1.5192354	1	30	1	1	2	18	2	9	n/a	4617.72339	n/a
4618.672177	1.5215382	1	31	1	1	2	19	2	9	n/a	4619.244145	n/a
4620.193715	1.517607	1	32	1	1	2	20	1	9	n/a	4620.76564	n/a
4621.711322	1.5218695	1	33	1	1	2	21	2	9	n/a	4622.283041	n/a
4623.233192	1.5148818	1	34	1	1	2	22	1	9	n/a	4623.802644	n/a
4624.748074	1.5167508	1	35	1	1	2	23	2	9	n/a	4625.311575	n/a
4626.264824	1.5225207	1	36	1	1	2	24	1	9	n/a	4626.836022	n/a
4627.787345	1.5215115	1	37	1	9	3	1	3	n/a	n/a	n/a	n/a
4629.308857	1.5193745	1	38	1	9	3	2	3	n/a	n/a	n/a	n/a
4630.828231	1.5204554	1	39	1	9	3	3	3	n/a	n/a	n/a	n/a
4632.348687	1.5182679	1	40	1	9	3	4	3	n/a	n/a	n/a	n/a
4633.866954	1.514808	1	41	1	9	3	5	3	n/a	n/a	n/a	n/a
4635.381762	1.5213236	1	42	1	9	3	6	3	n/a	n/a	n/a	n/a
4636.903086	1.5134066	1	43	1	9	3	7	3	n/a	n/a	n/a	n/a
4638.416493	1.51968	1	44	1	9	3	8	3	n/a	n/a	n/a	n/a
4639.936173	1.5220666	1	45	1	9	3	9	3	n/a	n/a	n/a	n/a
4641.458239	1.5175509	1	46	1	9	3	10	3	n/a	n/a	n/a	n/a
4642.97579	1.518971	1	47	1	9	3	11	3	n/a	n/a	n/a	n/a
4644.494761	1.5212358	1	48	1	9	3	12	3	n/a	n/a	n/a	n/a
4646.015997	1.5174672	1	49	1	3	4	1	2	9	n/a	4646.584814	n/a
4647.533464	1.5219575	1	50	1	3	4	2	2	9	n/a	4648.104432	n/a
4649.055422	1.5176768	1	51	1	3	4	3	2	9	n/a	4649.625834	n/a
4650.573098	1.5120399	1	52	1	3	4	4	2	9	n/a	4651.142635	n/a
4652.085138	1.5177571	1	53	1	3	4	5	2	9	n/a	4652.65448	n/a
4653.602895	1.512057	1	54	1	3	4	6	2	9	n/a	4654.166471	n/a
4655.114952	1.5137215	1	55	1	3	4	7	2	9	n/a	4655.684098	n/a
4656.628674	1.5218396	1	56	1	3	4	8	1	9	n/a	4657.196755	n/a
4658.150513	1.5146765	1	57	1	3	4	9	1	9	n/a	4658.719663	n/a
4659.66519	1.521551	1	58	1	3	4	10	2	9	n/a	4660.236869	n/a
4661.186741	1.5175235	1	59	1	3	4	11	2	9	n/a	4661.756773	n/a
4662.704265	1.5227184	1	60	1	3	4	12	1	9	n/a	4663.275581	n/a
4664.226983	1.5204704	1	61	1	3	4	13	1	9	n/a	4664.797461	n/a
4665.747453	1.5123468	1	62	1	3	4	14	1	9	n/a	4666.314469	n/a
4667.2598	1.5250368	1	63	1	3	4	15	2	9	n/a	4667.831621	n/a
4668.784837	1.5209271	1	64	1	3	4	16	1	9	n/a	4669.356545	n/a
4670.305764	1.5255631	1	65	1	3	4	17	2	9	n/a	4670.879499	n/a
4671.831327	1.5152302	1	66	1	3	4	18	1	9	n/a	4672.399813	n/a
4673.346557	1.5261343	1	67	1	3	4	19	2	9	n/a	4673.918553	n/a
4674.872692	1.514347	1	68	1	3	4	20	1	9	n/a	4675.437511	n/a
4676.387039	1.5171391	1	69	1	3	4	21	1	9	n/a	4676.953532	n/a
4677.904178	1.5207969	1	70	1	3	4	22	1	9	n/a	4678.475335	n/a
4679.424975	1.5149237	1	71	1	3	4	23	1	9	n/a	4679.995028	n/a
4680.939898	1.5183488	1	72	1	3	4	24	1	9	n/a	4681.506032	n/a
4682.458247	1.5146699	1	73	1	9	5	1	3	n/a	n/a	n/a	n/a
4683.972917	1.5043063	1	74	1	9	5	2	3	n/a	n/a	n/a	n/a
4685.477223	1.5244299	1	75	1	9	5	3	3	n/a	n/a	n/a	n/a
4687.001653	1.5198327	1	76	1	9	5	4	3	n/a	n/a	n/a	n/a
4688.521486	1.5182852	1	77	1	9	5	5	3	n/a	n/a	n/a	n/a
4690.039771	1.5189856	1	78	1	9	5	6	3	n/a	n/a	n/a	n/a
4691.558757	1.5210969	1	79	1	9	5	7	3	n/a	n/a	n/a	n/a
4693.079854	1.5159467	1	80	1	9	5	8	3	n/a	n/a	n/a	n/a
4694.5958	1.5212483	1	81	1	9	5	9	3	n/a	n/a	n/a	n/a
4696.117049	1.5220638	1	82	1	9	5	10	3	n/a	n/a	n/a	n/a
4697.639112	1.522335	1	83	1	9	5	11	3	n/a	n/a	n/a	n/a
4699.161447	1.5222971	1	84	1	9	5	12	3	n/a	n/a	n/a	n/a
4700.683745	1.5210857	1	85	1	5	6	1	2	9	n/a	4701.256089	n/a
4702.20483	1.5155344	1	86	1	5	6	2	1	9	n/a	4702.77155	n/a
4703.720365	1.5206676	1	87	1	5	6	3	2	9	n/a	4704.29118	n/a
4705.241032	1.5219598	1	88	1	5	6	4	1	9	n/a	4705.811249	n/a
4706.762992	1.5143262	1	89	1	5	6	5	1	9	n/a	4707.325128	n/a
4708.277318	1.5209467	1	90	1	5	6	6	2	9	n/a	4708.849602	n/a
4709.798265	1.5122583	1	91	1	5	6	7	1	9	n/a	4710.369268	n/a
4711.310523	1.5200038	1	92	1	5	6	8	2	9	n/a	4711.880969	n/a
