onset	duration	run_number	trial_number	att_task	bar_direction	bar_period	bar_step	stim_noise_ori	stim_stair_val	response_val	probe_time	reaction_time
5008.312359	1.599706849	2	1	1	9	1	1	3	n/a	n/a	n/a	n/a
5009.912066	1.600282238	2	2	1	9	1	2	3	n/a	n/a	n/a	n/a
5011.512348	1.600316199	2	3	1	9	1	3	3	n/a	n/a	n/a	n/a
5013.112664	1.600148501	2	4	1	9	1	4	3	n/a	n/a	n/a	n/a
5014.712813	1.600270298	2	5	1	9	1	5	3	n/a	n/a	n/a	n/a
5016.313083	1.600283239	2	6	1	9	1	6	3	n/a	n/a	n/a	n/a
5017.913366	1.600284742	2	7	1	9	1	7	3	n/a	n/a	n/a	n/a
5019.513651	1.60012839	2	8	1	9	1	8	3	n/a	n/a	n/a	n/a
5021.113779	1.600232376	2	9	1	9	1	9	3	n/a	n/a	n/a	n/a
5022.714012	1.600240361	2	10	1	9	1	10	3	n/a	n/a	n/a	n/a
5024.314252	1.600256564	2	11	1	9	1	11	3	n/a	n/a	n/a	n/a
5025.914509	1.600232206	2	12	1	9	1	12	3	n/a	n/a	n/a	n/a
5027.514741	1.600247791	2	13	1	1	2	1	2	9	n/a	5028.114842	n/a
5029.114989	1.600248524	2	14	1	1	2	2	2	9	n/a	5029.715076	n/a
5030.715237	1.600254534	2	15	1	1	2	3	2	9	n/a	5031.315336	n/a
5032.315492	1.600231967	2	16	1	1	2	4	1	9	n/a	5032.915579	n/a
5033.915724	1.600196755	2	17	1	1	2	5	1	9	n/a	5034.515805	n/a
5035.515921	1.600287438	2	18	1	1	2	6	2	9	n/a	5036.116053	n/a
5037.116208	1.600239121	2	19	1	1	2	7	1	9	n/a	5037.7163	n/a
5038.716447	1.600239218	2	20	1	1	2	8	1	9	n/a	5039.316544	n/a
5040.316686	1.600236154	2	21	1	1	2	9	1	9	n/a	5040.916789	n/a
5041.916922	1.600249832	2	22	1	1	2	10	2	9	n/a	5042.517013	n/a
5043.517172	1.600244937	2	23	1	1	2	11	2	9	n/a	5044.117278	n/a
5045.117417	1.6002366	2	24	1	1	2	12	2	9	n/a	5045.717514	n/a
5046.717654	1.600238569	2	25	1	1	2	13	1	9	n/a	5047.317743	n/a
5048.317892	1.600245132	2	26	1	1	2	14	1	9	n/a	5048.918004	n/a
5049.918138	1.600255354	2	27	1	1	2	15	2	9	n/a	5050.518236	n/a
5051.518393	1.600267727	2	28	1	1	2	16	1	9	n/a	5052.11849	n/a
5053.118661	1.600282585	2	29	1	1	2	17	1	9	n/a	5053.718752	n/a
5054.718943	1.600261335	2	30	1	1	2	18	2	9	n/a	5055.319037	n/a
5056.319205	1.600243225	2	31	1	1	2	19	2	9	n/a	5056.9193	n/a
5057.919448	1.60020332	2	32	1	1	2	20	1	9	n/a	5058.519465	n/a
5059.519651	1.600280823	2	33	1	1	2	21	1	9	n/a	5060.119744	n/a
5061.119932	1.600124334	2	34	1	1	2	22	1	9	n/a	5061.720022	n/a
5062.720056	1.600290869	2	35	1	1	2	23	1	9	n/a	5063.320174	n/a
5064.320347	1.600277817	2	36	1	1	2	24	1	9	n/a	5064.920449	n/a
5065.920625	1.600288998	2	37	1	9	3	1	3	n/a	n/a	n/a	n/a
5067.520914	1.600220477	2	38	1	9	3	2	3	n/a	n/a	n/a	n/a
5069.121134	1.600139549	2	39	1	9	3	3	3	n/a	n/a	n/a	n/a
5070.721274	1.600238707	2	40	1	9	3	4	3	n/a	n/a	n/a	n/a
5072.321513	1.600263105	2	41	1	9	3	5	3	n/a	n/a	n/a	n/a
5073.921776	1.600219942	2	42	1	9	3	6	3	n/a	n/a	n/a	n/a
5075.521996	1.600234761	2	43	1	9	3	7	3	n/a	n/a	n/a	n/a
5077.12223	1.600258385	2	44	1	9	3	8	3	n/a	n/a	n/a	n/a
5078.722489	1.600238361	2	45	1	9	3	9	3	n/a	n/a	n/a	n/a
5080.322727	1.600237668	2	46	1	9	3	10	3	n/a	n/a	n/a	n/a
5081.922965	1.600293293	2	47	1	9	3	11	3	n/a	n/a	n/a	n/a
5083.523258	1.600287608	2	48	1	9	3	12	3	n/a	n/a	n/a	n/a
5085.123546	1.60024542	2	49	1	3	4	1	1	9	n/a	5085.723636	n/a
5086.723791	1.600129449	2	50	1	3	4	2	2	9	n/a	5087.323884	n/a
5088.323921	1.600263026	2	51	1	3	4	3	2	9	n/a	5088.924025	n/a
5089.924184	1.600223081	2	52	1	3	4	4	1	9	n/a	5090.524252	n/a
5091.524407	1.600232822	2	53	1	3	4	5	2	9	n/a	5092.124498	n/a
5093.12464	1.600254687	2	54	1	3	4	6	2	9	n/a	5093.724757	n/a
5094.724894	1.600263262	2	55	1	3	4	7	1	9	n/a	5095.324996	n/a
5096.325158	1.600345587	2	56	1	3	4	8	1	9	n/a	5096.925236	n/a
5097.925503	1.600132583	2	57	1	3	4	9	2	9	n/a	5098.52548	n/a
5099.525636	1.600281393	2	58	1	3	4	10	2	9	n/a	5100.125745	n/a
5101.125917	1.600306185	2	59	1	3	4	11	1	9	n/a	5101.726068	n/a
5102.726223	1.600238469	2	60	1	3	4	12	2	9	n/a	5103.326311	n/a
5104.326462	1.600112249	2	61	1	3	4	13	1	9	n/a	5104.926421	n/a
5105.926574	1.600240594	2	62	1	3	4	14	1	9	n/a	5106.526787	n/a
5107.526815	1.600259361	2	63	1	3	4	15	1	9	n/a	5108.126921	n/a
5109.127074	1.600246484	2	64	1	3	4	16	1	9	n/a	5109.727175	n/a
5110.72732	1.600225746	2	65	1	3	4	17	1	9	n/a	5111.327409	n/a
5112.327546	1.600267727	2	66	1	3	4	18	2	9	n/a	5112.927655	n/a
5113.927814	1.600237282	2	67	1	3	4	19	2	9	n/a	5114.527893	n/a
5115.528051	1.600225745	2	68	1	3	4	20	1	9	n/a	5116.128243	n/a
5117.128277	1.600258038	2	69	1	3	4	21	1	9	n/a	5117.728384	n/a
5118.728535	1.600250043	2	70	1	3	4	22	2	9	n/a	5119.328625	n/a
5120.328785	1.600272812	2	71	1	3	4	23	1	9	n/a	5120.928869	n/a
5121.929058	1.600272231	2	72	1	3	4	24	2	9	n/a	5122.52915	n/a
5123.52933	1.600272918	2	73	1	9	5	1	3	n/a	n/a	n/a	n/a
5125.129603	1.600121871	2	74	1	9	5	2	3	n/a	n/a	n/a	n/a
5126.729725	1.600247293	2	75	1	9	5	3	3	n/a	n/a	n/a	n/a
5128.329972	1.600241655	2	76	1	9	5	4	3	n/a	n/a	n/a	n/a
5129.930214	1.600236586	2	77	1	9	5	5	3	n/a	n/a	n/a	n/a
5131.53045	1.600275656	2	78	1	9	5	6	3	n/a	n/a	n/a	n/a
5133.130726	1.600225598	2	79	1	9	5	7	3	n/a	n/a	n/a	n/a
5134.730952	1.600245107	2	80	1	9	5	8	3	n/a	n/a	n/a	n/a
5136.331197	1.600214322	2	81	1	9	5	9	3	n/a	n/a	n/a	n/a
5137.931411	1.600263602	2	82	1	9	5	10	3	n/a	n/a	n/a	n/a
5139.531675	1.600252332	2	83	1	9	5	11	3	n/a	n/a	n/a	n/a
5141.131927	1.600219892	2	84	1	9	5	12	3	n/a	n/a	n/a	n/a
5142.732147	1.600282315	2	85	1	5	6	1	1	9	n/a	5143.332248	n/a
5144.332429	1.600301454	2	86	1	5	6	2	2	9	n/a	5144.932542	n/a
5145.932731	1.600260504	2	87	1	5	6	3	2	9	n/a	5146.532841	n/a
5147.532991	1.600127434	2	88	1	5	6	4	2	9	n/a	5148.133078	n/a
5149.133119	1.600305651	2	89	1	5	6	5	2	9	n/a	5149.733202	n/a
5150.733424	1.600177581	2	90	1	5	6	6	2	9	n/a	5151.333435	n/a
5152.333602	1.600253479	2	91	1	5	6	7	1	9	n/a	5152.933698	n/a
5153.933855	1.600238745	2	92	1	5	6	8	2	9	n/a	5154.533936	n/a
5155.534094	1.600248958	2	93	1	5	6	9	2	9	n/a	5156.134182	n/a
